"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-03-08","2008-08-11",1003,"ARRECIFES","Buenos Aires","Nacional","2008","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","ARRECIFES","BUENOS AIRES","Masculino","1957","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-03-05","1999-07-30",1004,"AVELLANEDA Nº 1","Buenos Aires","Nacional","1999","","RURAL 4 PUERTAS","19","FORD","JJ","ESCORT RURAL LX 1.8 N","1","Privado","Física","AVELLANEDA","BUENOS AIRES","No identificado","1978","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-03-19","1993-04-21",1060,"MEDANOS","Buenos Aires","Nacional","1993","","CHASIS S/CABINA P/PASAJEROS","29","MERCEDES BENZ","59","OF 1215/45","1","Privado","Física","HILARIO ASCASUBI","BUENOS AIRES","Femenino","1976","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-03-05","2011-01-12",1062,"MERLO Nº 1","Buenos Aires","Protocolo 21","2011","","OMNIBUS","092","MERCEDES BENZ","168","OF-1418","2","Público","Jurídica","PONTEVEDRA","BUENOS AIRES","No aplica","1970","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/EXPORT. DEFINITIVA","2018-03-13","1970-04-22",1087,"SAN ISIDRO Nº 01","Buenos Aires","Nacional","1970","","AUTOMOVIL","17","FIAT","01","600 E BERLINA","1","Privado","Física","ACASSUSO","BUENOS AIRES","Masculino","1970","Francia",100,"06","FRA"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-03-20","1996-07-24",1107,"LANUS Nº 2","Buenos Aires","Nacional","1996","","BERLINA","37","RENAULT","BB","CLIO RT 5PTAS","1","Privado","Física","VALENTIN ALSINA","BUENOS AIRES","Masculino","1984","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-03-13","2013-08-05",1092,"SAN NICOLAS Nº 1","Buenos Aires","Nacional","2013","","MICROOMNIBUS","29","MERCEDES BENZ","ER","BMO 384 VERSION 1418 52 CM","2","Público","Jurídica","SAN NICOLAS","BUENOS AIRES","No aplica","1995","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-03-01","2000-03-10",1127,"LA PLATA Nº 05","Buenos Aires","Nacional","2000","","RURAL 3 PTAS","07","CITROEN","06","BERLINGO DPL","1","Privado","Física","LOS HORNOS","BUENOS AIRES","Masculino","1993","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-03-12","1992-07-21",1128,"SAN MIGUEL Nº 2","Buenos Aires","Importado","1992","","RURAL","126","SUBARU","068","LEGACY 2.2 4WD","1","Privado","Física","SAN MIGUEL","BUENOS AIRES","Masculino","1978","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-03-22","2011-01-25",1135,"LANUS Nº 4","Buenos Aires","Nacional","2011","","FURGON 800","34","PEUGEOT","KE","PARTNER CONFORT 1.4","1","Privado","Física","LANUS ESTE","BUENOS AIRES","Masculino","1982","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-03-21","1998-07-23",1140,"SAN ISIDRO Nº 04","Buenos Aires","Nacional","1998","","BERLINA 3 PUERTAS","37","RENAULT","CA","CLIO RL 3 PTAS.","1","Privado","Física","BECCAR","BUENOS AIRES","Femenino","1970","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-03-07","2010-12-10",1142,"BAHIA BLANCA Nº 3","Buenos Aires","Nacional","2010","","UTILITARIO","08","CHEVROLET","CW","CLASSIC 3 PTAS CARGO 1.4N","1","Privado","Física","BAHIA BLANCA","BUENOS AIRES","Femenino","1977","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-03-08","2006-12-28",1153,"LA MATANZA Nº 05","Buenos Aires","Nacional","2006","","FURGON 600","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1988","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-03-13","2000-12-19",1158,"TRES DE FEBRERO Nº 3","Buenos Aires","Nacional","2000","","FURGON C/EQUIPO DE F","29","MERCEDES BENZ","AG","SPRINTER 312 D / CH3550","1","Privado","Jurídica","CIUDADELA","BUENOS AIRES","No aplica","1983","No aplica",100,"06",""
