"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-11-01","2005-12-06",2018,"CAPITAL FEDERAL Nº 018","Ciudad Autónoma de Bs.As.","Nacional","2005","","FURGON 600","34","PEUGEOT","DM","PARTNER FURGON 1.4 N PRESENCE","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Femenino","1971","ARGENTINA",100,"02","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-11-19","1998-06-18",1270,"TIGRE Nº 5","Buenos Aires","Nacional","1998","","MICROOMNIBUS","29","MERCEDES BENZ","96","BMO390 VERSION 1621","1","Privado","Física","MORENO","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-11-23","2011-05-09",1270,"TIGRE Nº 5","Buenos Aires","Protocolo 21","2011","","OMNIBUS","092","MERCEDES BENZ","168","OF-1418","2","Público","Jurídica","EL TALAR-TIGRE","BUENOS AIRES","No aplica","1981","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-11-23","2007-02-16",1270,"TIGRE Nº 5","Buenos Aires","Protocolo 21","2007","","MICROOMNIBUS","092","MERCEDES BENZ","167","OF-1417","2","Público","Jurídica","EL TALAR-TIGRE","BUENOS AIRES","No aplica","1981","No aplica",100,"06",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2021-11-30","2004-01-13",1270,"TIGRE Nº 5","Buenos Aires","Nacional","2004","","TRACTOR DE CARRETERA","67","IVECO","22","170E22T","1","Privado","Física","EL TALAR","BUENOS AIRES","Masculino","1969","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-11-11","2010-10-22",1271,"JOSE C. PAZ Nº 2","Buenos Aires","Nacional","2010","","BATEA","DN","RANDON","12","SR.BA.02+01","1","Privado","Física","JOSE C.PAZ","BUENOS AIRES","No identificado","1952","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-11-15","2006-01-24",1296,"MAR DEL PLATA Nº 12","Buenos Aires","Nacional","2006","","SEMIRREMOLQUE TANQUE","70","GONELLA","01","2 EJES (1+1)","1","Privado","Jurídica","MAR DEL PLATA","BUENOS AIRES","No aplica","2003","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-11-17","1993-10-06",1296,"MAR DEL PLATA Nº 12","Buenos Aires","Nacional","1993","","BERLINA 5 PUERTAS","37","RENAULT","90","RENAULT 19 RN BIC","1","Privado","Física","BATAN, GRAL PUEYRREDON","BUENOS AIRES","No identificado","1944","CHILE",100,"06","CHL"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-11-09","1995-01-27",1302,"NECOCHEA Nº 3","Buenos Aires","Nacional","1995","","BERLINA 5 PUERTAS","37","RENAULT","90","19 RN BIC.","1","Privado","Física","NECOCHEA","BUENOS AIRES","No identificado","1957","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-11-24","2011-04-13",2080,"CAPITAL FEDERAL Nº 080","Ciudad Autónoma de Bs.As.","Nacional","2011","","MICROOMNIBUS","79","AGRALE","02","MT 12.0 LE","2","Público","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1961","No aplica",100,"02",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2021-11-04","2000-12-06",1314,"LUJAN Nº 3","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","63","CORSA 4PTAS GLS 1.6 8V N","1","Privado","Física","LUJAN","BUENOS AIRES","Masculino","1983","PARAGUAY",100,"06","PRY"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-11-03","1980-02-28",1264,"ADROGUE Nº 5","Buenos Aires","Protocolo 21","","","COUPE 2 PUERTAS","032","DAIHATSU","048","CHARADE G10L-FMG","1","Privado","Física","SAN JOSE","BUENOS AIRES","Femenino","1978","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-11-17","2008-08-22",2031,"CAPITAL FEDERAL Nº 031","Ciudad Autónoma de Bs.As.","Protocolo 21","2008","","MICROOMNIBUS","080","AGRALE","160","MT 12.0 LE","2","Público","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1999","No aplica",100,"02",""
