"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2019-05-21","1999-12-07",1023,"CORONEL VIDAL","Buenos Aires","Nacional","1999","","BERLINA 5 PUERTAS","37","RENAULT","CD","CLIO RL DIESEL 5 PTAS. DA.","1","Privado","Física","SANTA CLARA DEL MAR","BUENOS AIRES","No identificado","1983","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-05-08","2009-02-02",2040,"CAPITAL FEDERAL Nº 040","Ciudad Autónoma de Bs.As.","Nacional","2009","","OMNIBUS","79","AGRALE","02","MT 12.0 LE","2","Público","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1954","No aplica",100,"02",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-05-03","2002-10-01",1045,"LA PLATA Nº 03","Buenos Aires","Nacional","2002","","FURGON FAMILIAR","34","PEUGEOT","75","PARTNER PATAGONICA 2PLC D","1","Privado","Física","LA PLATA","BUENOS AIRES","Femenino","1944","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-05-27","2000-09-13",1063,"MIRAMAR","Buenos Aires","Nacional","2000","","BERLINA 4 PTAS.","37","RENAULT","EU","MEGANE RXE TRI F2","1","Privado","Física","MIRAMAR","BUENOS AIRES","Masculino","1998","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-05-06","1992-07-03",1075,"PUAN","Buenos Aires","Nacional","1992","","COUPE 2 PUERTAS","37","RENAULT","52","RENAULT FUEGO MAX","1","Privado","Física","PUAN","BUENOS AIRES","No identificado","1983","No identificado",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-05-17","2006-07-18",1078,"LA MATANZA Nº 01","Buenos Aires","Protocolo 21","2006","","FURGON VIDRIADO CON ASIENTOS","044","FIAT","591","FIORINO FIRE 1242 MPI 8V","1","Privado","Física","GREGORIO DE LAFERRERE","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2019-05-06","2003-10-01",1102,"25 DE MAYO","Buenos Aires","Protocolo 21","2003","","CHASIS CON CABINA/CAMION","092","MERCEDES BENZ","759","LS-1634","1","Privado","Jurídica","NORBERTO DE LA RIESTRA","BUENOS AIRES","No aplica","1986","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-05-06","1997-07-24",1097,"TORNQUIST","Buenos Aires","Nacional","1997","","BERLINA 3 PTAS","37","RENAULT","CA","CLIO RL 3 PTAS","1","Privado","Física","TORNQUIST","BUENOS AIRES","Masculino","1997","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-05-24","2000-11-07",1135,"LANUS Nº 4","Buenos Aires","Nacional","2000","","CAMION TRACTOR","67","IVECO","09","450E31T","1","Privado","Física","LANUS ESTE","BUENOS AIRES","Masculino","1964","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-05-15","1993-11-02",1156,"HURLINGHAM Nº 1 (EX. MORON Nº 4)","Buenos Aires","Importado","1993","","SEDAN","044","FIAT","333","TEMPRA ORO","1","Privado","Física","HURLINGHAM","BUENOS AIRES","Masculino","1968","ARGENTINA",100,"06","ARG"
