"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-08-13","1988-04-07",21011,"RAFAELA Nº 1","Santa Fe","Nacional","1988","","RURAL 5 PTAS","19","FORD","29","SIERRA RURAL GHIA","1","Privado","Física","RAFAELA","SANTA FE","Masculino","1956","ARGENTINA",50,"82","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-08-06","2002-04-08",7013,"TRELEW Nº 3","Chubut","Nacional","2002","","FURGON VIDRIADO","37","RENAULT","EF","KANGOO RL EXPRESS DIE DA","1","Privado","Física","TRELEW","CHUBUT","Masculino","1960","ARGENTINA",100,"26","ARG"
"AUTOMOTOR - BAJA P/EXPORT. DEFINITIVA","2021-08-04","2007-04-12",10005,"LIB.GRAL.SAN MARTIN","Jujuy","Nacional","2007","","CARRETON","82","VULCANO","04","SEM(1+2 EJES)","1","Privado","Jurídica","LDOR.GRAL.SAN MARTIN","JUJUY","No aplica","2016","No aplica",100,"38",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-08-19","1999-02-05",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","1999","","BERLINA 4 PTAS.","37","RENAULT","CL","MEGANE RXE TRIC ABCP","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","Masculino","1953","CHILE",100,"06","CHL"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2021-08-10","2011-06-01",1031,"GENERAL ALVEAR","Buenos Aires","Nacional","2011","","FURGON 800","4K","PEUGEOT","G2","PARTNER CONFORT 1.6 HDI / 2011","1","Privado","Física","GENERAL ALVEAR","BUENOS AIRES","No identificado","1942","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-08-06","2010-11-05",2069,"CAPITAL FEDERAL Nº 069","Ciudad Autónoma de Bs.As.","Nacional","2010","","MICROOMNIBUS","79","AGRALE","01","MT 15.0 LE","2","Público","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1965","No aplica",100,"02",""
"AUTOMOTOR - BAJA P/EXPORT. DEFINITIVA","2021-08-02","1987-02-02",1087,"SAN ISIDRO Nº 01","Buenos Aires","Nacional","1987","","COUPE 2 PTAS","37","RENAULT","44","RENAULT FUEGO GTX","1","Privado","Física","C.AUTONOMA DE BS.AS","BUENOS AIRES","Masculino","1972","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-08-03","1990-10-24",4018,"LABOULAYE","Córdoba","Nacional","1990","","BERLINA 4 PTAS","37","RENAULT","62","RENAULT 21 TXE","1","Privado","Física","LABOULAYE","CORDOBA","Masculino","1979","ARGENTINA",100,"14","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-08-12","1990-03-30",13034,"GODOY CRUZ","Mendoza","Nacional","1990","","BERLINA 5 PTAS","37","RENAULT","42","R 11 GTL","1","Privado","Física","G.BENEGAS","MENDOZA","Femenino","1975","ARGENTINA",100,"50","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-08-24","2005-10-20",2042,"CAPITAL FEDERAL Nº 042","Ciudad Autónoma de Bs.As.","Nacional","1994","","CAMIONETA CON CUPULA","","FORD","","F-100","0","Oficial","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1996","No aplica",100,"02",""
