"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-02-10","1993-01-07",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Importado","1992","","3 PUERTAS","128","TAVRIA","001","1102","1","Privado","Física","M.GRANDE PDO.E.ECHEVERRIA","BUENOS AIRES","No identificado","1978","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-02-11","1994-05-11",1060,"MEDANOS","Buenos Aires","Importado","1994","","SEDAN","","PEUGEOT","","405 GLD","1","Privado","Física","PEDRO LURO-VILLARINO","BUENOS AIRES","No identificado","1967","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-02-21","1994-06-06",1063,"MIRAMAR","Buenos Aires","Protocolo 21","1994","","SEDAN 4 PTAS","","PEUGEOT","","405 GLD","1","Privado","Física","MIRAMAR GRAL.ALVARADO","BUENOS AIRES","No identificado","1951","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-02-27","2010-06-18",1098,"TRENQUE LAUQUEN Nº 1","Buenos Aires","Protocolo 21","2010","","TRACTOR C/CABINA DOR","120","SCANIA","923","G420 A4X2","1","Privado","Jurídica","TRENQUE LAUQUEN","BUENOS AIRES","No aplica","2006","No aplica",100,"06",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-02-19","2009-03-27",1103,"ZARATE Nº 1","Buenos Aires","Nacional","2009","","FURGON VIDRIADO C/A","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","LIMA","BUENOS AIRES","Femenino","1961","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-02-13","1989-03-01",1107,"LANUS Nº 2","Buenos Aires","Nacional","1989","","BERLINA 5 PTAS.","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","VALENTIN ALSINA","BUENOS AIRES","Femenino","1971","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-02-20","1993-10-15",1128,"SAN MIGUEL Nº 2","Buenos Aires","Importado","1993","","SEDAN","","MITSUBISHI","","LANCER 1500 GLX","1","Privado","Física","MUÑIZ-SAN MIGUEL","BUENOS AIRES","No identificado","1955","No identificado",100,"06",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-02-28","2009-01-16",1149,"LA PLATA Nº 06","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","LAS QUINTAS","BUENOS AIRES","Masculino","1961","ARGENTINA",50,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-02-26","1998-04-22",1170,"NECOCHEA Nº 2","Buenos Aires","Nacional","1998","","MICROOMNIBUS","29","MERCEDES BENZ","AA","BMO390 VERSION 1621","1","Privado","Jurídica","NECOCHEA","BUENOS AIRES","No aplica","1966","No aplica",100,"06",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-02-27","2000-12-05",1174,"LA MATANZA Nº 07","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","61","CORSA WIND 1.7 DIESEL 3P","1","Privado","Física","TABLADA","BUENOS AIRES","Masculino","1956","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-02-12","2000-09-12",1176,"SAN ISIDRO Nº 05","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 DOOR WIND 1.6 MPFI","1","Privado","Física","BOULOGNE -SAN ISIDRO","BUENOS AIRES","No identificado","1981","ARGENTINA",100,"06","ARG"
