"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2019-03-13","2007-02-27",1065,"MORON Nº 02","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Jurídica","MORON","BUENOS AIRES","No aplica","1969","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-03-08","2010-05-20",1100,"TRES DE FEBRERO Nº 1","Buenos Aires","Nacional","2010","","BERLINE 5 PORTES","34","PEUGEOT","FD","307 XS 1.6 5P 110CV","1","Privado","Física","CASEROS","BUENOS AIRES","Masculino","1979","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-03-08","1981-08-14",1112,"NAVARRO","Buenos Aires","Nacional","1981","","CAMION TRACTOR","17","FIAT","13","619 T1","1","Privado","Física","NAVARRO","BUENOS AIRES","Masculino","1990","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2019-03-08","2011-11-29",1114,"CAÑUELAS","Buenos Aires","Nacional","2011","","FAMILIAR C/ASIENTOS","37","RENAULT","VW","KANGOO CONFORT 1.6 CD AA DA SVT1PL(600KG","1","Privado","Física","CAÑUELAS","BUENOS AIRES","Masculino","1977","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-03-15","1998-09-18",1120,"LA MATANZA Nº 03","Buenos Aires","Importado","1998","","FURGON VIDRIADO","131","PEUGEOT","831","BOXER 270 CD","1","Privado","Física","CIUDAD EVITA","BUENOS AIRES","Femenino","1975","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2019-03-07","2004-10-20",1135,"LANUS Nº 4","Buenos Aires","Nacional","2004","","FURGON 600","34","PEUGEOT","DP","PARTNER FURGON 1.4 N CONFORT","1","Privado","Física","LANUS ESTE","BUENOS AIRES","Masculino","1987","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-03-27","1998-01-09",1146,"MERLO Nº 2","Buenos Aires","Nacional","1997","","COMBI 3000","29","MERCEDES BENZ","92","SPRINTER 310D/C3000","1","Privado","Física","CDAD. DE LIBERTAD","BUENOS AIRES","Masculino","1990","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-03-06","2000-01-25",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","2000","","BERLINA 3 PTAS.","37","RENAULT","DT","CLIO RN 3 PTAS. PACK AA DA","1","Privado","Física","I CASANOVA","BUENOS AIRES","Masculino","1984","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-03-29","1994-09-15",1152,"LA MATANZA Nº 04","Buenos Aires","Importado","1994","","AUTOMOVIL","127","SUZUKI","044","SF416NLX","1","Privado","Física","LA TABLADA","BUENOS AIRES","Femenino","1978","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-03-28","1981-09-11",1165,"SAN FERNANDO Nº 2","Buenos Aires","Nacional","1981","","COUPE 2 PUERTAS","19","FORD","21","TAUNUS VERSION GT","1","Privado","Física","SAN FERNANDO","BUENOS AIRES","Masculino","1973","ARGENTINA",100,"06","ARG"
