"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-12-28","1991-06-21",10003,"SAN SALVADOR DE JUJUY Nº 1","Jujuy","Nacional","1991","","SEDAN","19","FORD","33","ESCORT","1","Privado","Física","S.S.DE JUJUY","JUJUY","Masculino","1981","Argentina",100,"38","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-12-26","1999-01-18",12004,"LA RIOJA Nº 2","La Rioja","Nacional","1999","","UNIDAD TRACTORA","51","SCANIA","83","P 94 GA 4X2 NZ 260","1","Privado","Jurídica","LA RIOJA","LA RIOJA","No aplica","2007","No aplica",100,"46",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-12-14","2010-10-18",13025,"RIVADAVIA","Mendoza","Nacional","2010","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","RIVADAVIA","MENDOZA","Masculino","1972","Argentina",100,"50","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-12-26","1998-07-31",13027,"SAN RAFAEL Nº 4","Mendoza","Nacional","1998","","SEDAN","08","CHEVROLET","51","CORSA GL 1.6 MPFI 4 PTAS","1","Privado","Física","SAN RAFAEL","MENDOZA","Femenino","1990","Argentina",100,"50","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-12-05","2008-09-25",15005,"CUTRAL-CO","Neuquén","Nacional","2008","","FOURGON COURT TYPE 6","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","CUTRAL CÓ","NEUQUEN","Femenino","1963","Argentina",100,"58","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-12-20","2005-07-22",16003,"GENERAL ROCA Nº 1","Río Negro","Nacional","2005","","FURGON 600","34","PEUGEOT","DM","PARTNER FURGON 1.4 N PRESENCE","1","Privado","Física","GENERAL ROCA","RIO NEGRO","Masculino","1982","Argentina",100,"62","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-12-14","2007-02-20",16017,"CINCO SALTOS","Río Negro","Nacional","2007","","FURGON COURT TYPE 60","07","CITROEN","39","BERLINGO FURGON 1.9D PLC","1","Privado","Física","CINCO SALTOS","RIO NEGRO","Femenino","1987","Argentina",100,"62","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-12-03","1999-03-10",18004,"SAN JUAN Nº 4","San Juan","Nacional","1999","","COMBI 3550","29","MERCEDES BENZ","93","SPRINTER 310 D/C3550","1","Privado","Física","RIVADAVIA","SAN JUAN","Masculino","1972","Argentina",100,"70","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-12-21","1997-09-19",20002,"RIO GALLEGOS Nº 1","Santa Cruz","Nacional","1997","","RURAL 4 PUERTAS","19","FORD","69","ESCORT RURAL CLX 1.8","1","Privado","Física","RIO GALLEGOS","SANTA CRUZ","Masculino","1945","Argentina",100,"78","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-12-28","1998-06-24",21023,"SANTA FE Nº 1","Santa Fe","Nacional","1998","","BERLINA 4 PTAS","37","RENAULT","CK","MEGANE RT TRIC 2.0","1","Privado","Física","ANGEL GALLARDO","SANTA FE","Masculino","1981","Argentina",100,"82","ARG"
