"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-13","2007-04-17",1006,"AYACUCHO","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","AYACUCHO","BUENOS AIRES","No identificado","1969","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-14","1997-04-22",1015,"CARHUE","Buenos Aires","Nacional","1994","","AUTOMOTOR","99","FIAT","99","1994","0","Oficial","Jurídica","CARHUE-A.ALSINA","BUENOS AIRES","No aplica","1901","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-05","1971-11-26",1020,"CORONEL DORREGO","Buenos Aires","Nacional","1961","","JEEP","99","JEEP","99","JA-3UB-1961","1","Privado","Jurídica","MONTE HERMOSO","BUENOS AIRES","No aplica","1901","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-11","2007-03-16",1021,"CORONEL PRINGLES","Buenos Aires","Nacional","2007","","CARRETON","82","VULCANO","05","SEM (1+2 EJES)","1","Privado","Jurídica","CORONEL PRINGLES","BUENOS AIRES","No aplica","2011","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/EXPORT. DEFINITIVA","2019-02-28","1974-10-25",1044,"LA PLATA Nº 02","Buenos Aires","Importado","1951","","SEDAN","","VOLKSWAGEN","","1951","1","Privado","Física","LA PLATA","BUENOS AIRES","Masculino","1972","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2019-02-13","2010-11-25",1057,"MAIPU","Buenos Aires","Nacional","2010","","FURGON VIDRIADO C/AS","37","RENAULT","VW","KANGOO CONFORT 1.6 CD AA DA SVT1PL","1","Privado","Física","MAIPÚ","BUENOS AIRES","Masculino","1987","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-11","2007-09-10",1058,"MAR DEL PLATA Nº 01","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1986","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-04","1971-04-30",1084,"SAN ANTONIO DE ARECO","Buenos Aires","Nacional","2000","","TRANSPORTE DE CARGA","99","BAQUEANO 500 IKA","9","1963","1","Privado","Física","SAN ANTONIO DE ARECO","BUENOS AIRES","No identificado","1964","No identificado",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-19","1999-07-27",1130,"GENERAL RODRIGUEZ Nº 1","Buenos Aires","Nacional","1999","","BERLINA 3 PTAS","37","RENAULT","DV","CLIO RN 3P DIE PACK AA DA","1","Privado","Física","GRAL.RODRIGUEZ","BUENOS AIRES","Masculino","1982","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-21","1994-11-08",1161,"ESTEBAN ECHEVERRIA Nº 2","Buenos Aires","Protocolo 21","1994","","COUPE CABRIOLET 2.0","136","VOLKSWAGEN","006","GOLF","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","Masculino","1973","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-11","2000-03-30",1169,"OLIVOS Nº 05","Buenos Aires","Nacional","2000","","FURGON 3550","29","MERCEDES BENZ","AC","SPRINTER 312D/F3550","1","Privado","Física","CARAPACHAY-VTE.LOPEZ","BUENOS AIRES","No identificado","1965","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-27","1983-03-18",1186,"MORENO Nº 2","Buenos Aires","Nacional","1983","","RURAL 4 PUERTAS","19","FORD","05","FALCON VERSION 3.0 L","1","Privado","Física","FCO.ALVAREZ","BUENOS AIRES","Masculino","1971","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-19","2006-05-03",1196,"LA PLATA Nº 08","Buenos Aires","Protocolo 21","2006","","FURGONETA VID/C/ASIENTOS","044","FIAT","591","FIORINO FIRE 1242 MPI 8V","1","Privado","Física","LA PLATA","BUENOS AIRES","Femenino","1976","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-06","2006-04-26",1210,"ESTEBAN ECHEVERRIA Nº 3","Buenos Aires","Importado","1987","","AUTOMOTOR","","PEUGEOT","","504 SRD","1","Privado","Física","M.GRANDE-E. ECHEVERRIA","BUENOS AIRES","No identificado","1973","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-11","1997-10-01",1223,"EZEIZA Nº 1 (EX. ESTEBAN ECHEVERRIA NO 4)","Buenos Aires","Nacional","1997","","MICROOMNIBUS","60","EL DETALLE","02","OA-101/5.17","2","Público","Jurídica","CARLOS SPEGAZZINI","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2019-02-19","1997-05-08",1234,"ADROGUE Nº 4","Buenos Aires","Nacional","1997","","BERLINA 5 PTAS","37","RENAULT","AH","RENAULT 19 RN INYEC.(BIC)","1","Privado","Física","BURZACO","BUENOS AIRES","Masculino","1983","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-14","1994-08-08",1246,"LA PLATA Nº 12","Buenos Aires","Protocolo 21","1994","","BERLINA 5 PUERTAS","112","RENAULT","001","CLIO RT","1","Privado","Física","TOLOSA","BUENOS AIRES","Masculino","1981","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-14","2005-10-06",1249,"BERISSO Nº 1","Buenos Aires","Nacional","2005","","FURGON VIDRIADO C/ ASIENTOS","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","BERISSO","BUENOS AIRES","Masculino","1957","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2019-02-11","2004-09-17",1255,"LOMAS DE ZAMORA Nº 8","Buenos Aires","Nacional","2004","","FURGON VIDRIADO CON","34","PEUGEOT","DS","PARTNER FURGON 1.9 D PRESENCE","1","Privado","Física","TEMPERLEY","BUENOS AIRES","Masculino","1977","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-15","1999-08-25",1261,"MARCOS PAZ","Buenos Aires","Nacional","1999","","FURG.VIDRIAD C/ASIEN","34","PEUGEOT","87","PARTNER 1.8I","1","Privado","Física","MARCOS PAZ","BUENOS AIRES","No identificado","1964","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-26","2009-08-31",1273,"MORENO Nº 4","Buenos Aires","Nacional","2009","","FURGON 600","4D","PEUGEOT","T2","PARTNER FURGON D PLC CONFORT","1","Privado","Física","MORENO","BUENOS AIRES","No identificado","1979","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-01","1993-03-16",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1993","","MICROOMNIBUS","60","EL DETALLE","01","OA-101","1","Privado","Jurídica","C SPEGAZZINI","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-01","1992-01-30",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1992","","TTE DE PASAJEROS","60","EL DETALLE","01","OA-101","1","Privado","Jurídica","C. SPEGAZZINI - EZEIZA","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-01","1993-01-22",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1993","","ZMICROOMNIBUS","60","EL DETALLE","01","OA-101","2","Público","Jurídica","CARLOS SPEGAZZINI","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-01","1992-01-24",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1992","","MICROOMNIBUS","60","EL DETALLE","01","OA-101","2","Público","Jurídica","C.SPEGAZZINI-EZEIZA","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-01","2001-01-30",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","2001","","OMNIBUS","60","EL DETALLE","02","OA-101/5.17","2","Público","Jurídica","C. SPEGAZZINI-EZEIZA","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-01","1993-03-16",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1993","","MICROOMNIBUS","60","EL DETALLE","01","OA-101","2","Público","Jurídica","CARLOS SPEGAZZINI","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-01","1994-06-10",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1994","","MICROOMNIBUS","29","MERCEDES-BENZ","47","OHL 1316/51","2","Público","Jurídica","C.SPEGAZZINI-EZEIZA","BUENOS AIRES","No aplica","1979","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-04","1993-01-22",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1993","","MICROOMNIBUS","60","EL DETALLE","01","OA-101","2","Público","Jurídica","CARLOS SPEGAZZINI","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-04","1997-07-04",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1997","","MICROOMNIBUS","60","EL DETALLE","02","OA-101/5.17","2","Público","Jurídica","SPEGAZZINI-EZEIZA","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-04","1993-03-16",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1993","","MICROOMNIBUS","60","EL DETALLE","01","OA-101","2","Público","Jurídica","CARLOS SPEGAZZINI","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-04","1999-01-13",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1999","","OMNIBUS","60","EL DETALLE","02","OA-101/5.17","2","Público","Jurídica","C SPEGAZZINI EZEIZA","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-04","1993-03-16",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1993","","MICROOMNIBUS","60","EL DETALLE","01","OA-101","2","Público","Jurídica","CARLOS SPEGAZZINI","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-04","1993-03-16",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1993","","MICROOMNIBUS","60","EL DETALLE","01","OA-101","2","Público","Jurídica","C. SPEGAZZINI-EZEIZA","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-04","1991-07-03",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1991","","MICROOMNIBUS","60","EL DETALLE","01","OA-101","2","Público","Jurídica","CARLOS SPEGAZZINI","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-04","1991-07-03",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1991","","MICROOMNIBUS","60","EL DETALLE","01","OA-101","2","Público","Jurídica","C. SPEGAZZINI","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-04","1993-08-09",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1993","","TRANSP.DE PASAJEROS","60","EL DETALLE","01","OA-101-1993","2","Público","Jurídica","CARLOS SPEGAZZINI -PDO.DE EZEIZA","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-04","1991-07-03",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1991","","MICROOMNIBUS","60","EL DETALLE","01","OA-101","2","Público","Jurídica","C. SPEGAZZINI","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-04","1992-08-12",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1992","","MICROOMNIBUS","60","EL DETALLE","01","0A 101","2","Público","Jurídica","CARLOS SPEGAZZINI - EZEIZA","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-04","1993-03-16",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1993","","MICROOMNIBUS","60","EL DETALLE","01","OA-101","2","Público","Jurídica","CARLOS SPEGAZZINI","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-05","1993-03-16",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1993","","MICROOMNIBUS","60","EL DETALLE","01","OA-101","2","Público","Jurídica","CARLOS SPEGAZZINI-EZEIZA","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-05","1993-03-16",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1993","","TRANSP.DE PASAJEROS","60","EL DETALLE","01","OA-101/1993","2","Público","Jurídica","CARLOS SPEGAZZINI -PDO.EZEIZA","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-05","1991-01-28",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1991","","MICROOMNIBUS","60","EL DETALLE","01","OA-101","2","Público","Jurídica","CARLOS SPEGAZZINI","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-05","1992-08-12",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1992","","MICROOMNIBUS","60","EL DETALLE","01","0A-101","2","Público","Jurídica","CARLOS SPEGAZZINI - EZEIZA","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-05","1992-08-12",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1992","","MICROOMNIBUS","60","EL DETALLE","01","OA101","2","Público","Jurídica","CARLOS SPEGAZZINI - EZEIZA","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-05","1992-08-12",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1992","","MICROOMNIBUS","60","EL DETALLE","01","0A-101","2","Público","Jurídica","C. SPEGAZZINI - EZEIZA","BUENOS AIRES","No aplica","1970","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-07","1971-02-09",2002,"CAPITAL FEDERAL Nº 002","Ciudad Autónoma de Bs.As.","Nacional","1966","","TRANSPORTE DE CARGA","","DODGE","","DP500","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1958","Argentina",100,"02","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-02-08","1998-05-21",2029,"CAPITAL FEDERAL Nº 029","Ciudad Autónoma de Bs.As.","Nacional","1998","","SEDAN","08","CHEVROLET","52","CORSA GL 1.6 4D WORLD CUP","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Femenino","1978","Argentina",50,"02","ARG"
