"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-11-12","2011-01-17",1062,"MERLO Nº 1","Buenos Aires","Protocolo 21","2011","","OMNIBUS","092","MERCEDES BENZ","168","OF-1418","2","Público","Jurídica","PONTEVEDRA","BUENOS AIRES","No aplica","1970","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-11-07","1992-04-21",1067,"NUEVE DE JULIO Nº 1","Buenos Aires","Importado","1992","","CAMIONETA","","CHEVROLET","","D-20 CUSTOM","1","Privado","Física","9 DE JULIO","BUENOS AIRES","No identificado","1976","No identificado",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-11-06","2007-08-31",1077,"QUILMES Nº 1","Buenos Aires","Nacional","2007","","MICROOMNIBUS","29","MERCEDES BENZ","CD","BMO 390 VERSION 1315L/52 CA","2","Público","Física","BERNAL","BUENOS AIRES","Masculino","1984","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-11-08","2000-03-28",1100,"TRES DE FEBRERO Nº 1","Buenos Aires","Nacional","2000","","FURGON 3550","29","MERCEDES BENZ","AC","SPRINTER 312D/F3550","1","Privado","Física","CASEROS","BUENOS AIRES","Femenino","1961","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-11-06","1999-03-15",1121,"MAR DEL PLATA Nº 03","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","51","CORSA 4 PUERTAS GL","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","No identificado","1979","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-11-11","2004-09-15",1148,"LOMAS DE ZAMORA Nº 4","Buenos Aires","Nacional","2004","","FURGON 600","34","PEUGEOT","DP","PARTNER FURGON 1.4 N CONFORT","1","Privado","Física","BANFIELD","BUENOS AIRES","Masculino","1987","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-11-13","1999-09-06",1158,"TRES DE FEBRERO Nº 3","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","53","CORSA 4 PUERTAS GLS 16V","1","Privado","Física","CIUDADELA","BUENOS AIRES","Masculino","1990","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-11-29","1997-03-07",1171,"ESCOBAR Nº 1","Buenos Aires","Nacional","1997","","SIN ESPECIFICACION","56","RENAULT","07","CLIO RN 3PTAS PACK AA.","1","Privado","Física","ESCOBAR","BUENOS AIRES","No identificado","1967","No identificado",100,"06",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2019-11-07","1995-03-20",1189,"FLORENCIO VARELA Nº 2","Buenos Aires","Nacional","1995","","BERLINA 5 PTAS.","37","RENAULT","AH","RENAULT 19 RN INYEC. (BIC)","1","Privado","Física","VILLA DEL PLATA","BUENOS AIRES","No identificado","1998","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-11-04","1986-02-18",1213,"CARMEN DE ARECO","Buenos Aires","Nacional","1986","","COUPE 2 PUERTAS","37","RENAULT","14","RENAULT FUEGO GTX","1","Privado","Física","CARMEN DE ARECO","BUENOS AIRES","No identificado","1976","No identificado",100,"06",""
