"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-04-28","2006-08-07",1030,"FLORENCIO VARELA Nº 1","Buenos Aires","Nacional","2006","","MICROOMNIBUS","29","MERCEDES-BENZ","CD","BMO 390 VERSION 1315L/52 CA","2","Público","Jurídica","FLORENCIO VARELA","BUENOS AIRES","No aplica","1982","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-04-06","2007-06-01",2014,"CAPITAL FEDERAL Nº 014","Ciudad Autónoma de Bs.As.","Nacional","2007","","FURGON VIDRIADO","34","PEUGEOT","DS","PARTNER FURGON 1.9 D PRESENCE","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1967","No identificado",100,"02",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-04-07","2005-07-29",1317,"ADROGUE Nº 6","Buenos Aires","Nacional","2005","","FURGON 600","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Física","LONGCHAMPS","BUENOS AIRES","Femenino","1986","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-04-23","2003-09-10",7009,"COMODORO RIVADAVIA Nº 3","Chubut","Nacional","2003","","FURGON COURT TYPE 60","07","CITROEN","19","BERLINGO FURGON 600 KG","1","Privado","Física","COMODORO RIVADAVIA","CHUBUT","Masculino","1954","ARGENTINA",100,"26","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-04-08","1994-06-16",1227,"LA MATANZA Nº 10","Buenos Aires","Protocolo 21","1994","","SEDAN","","PEUGEOT","","205 XL","1","Privado","Física","LOMAS DEL MIRADOR","BUENOS AIRES","No identificado","1986","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-04-23","2001-05-29",1256,"TRES DE FEBRERO Nº 6","Buenos Aires","Nacional","2001","","RURAL 3 PTAS","34","PEUGEOT","05","PARPANDAA","1","Privado","Física","TRES DE FEBRERO","BUENOS AIRES","Femenino","1945","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-04-14","1988-09-26",1018,"CARMEN DE PATAGONES","Buenos Aires","Nacional","1988","","MICROOMNIBUS","29","MERCEDES BENZ","36","OF 1214/45 FV","1","Privado","Física","VILLALONGA","BUENOS AIRES","Masculino","1979","BOLIVIA",100,"06","BOL"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-04-06","2008-10-09",1057,"MAIPU","Buenos Aires","Nacional","2008","","FURGON 600","34","PEUGEOT","DM","PARTNER FURGON 1.4 N PRESENCE","1","Privado","Física","MAIPÚ","BUENOS AIRES","Femenino","2000","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-04-21","1998-06-10",1237,"LOMAS DE ZAMORA Nº 7","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","51","CORSA GL 1.6 MPFI 4 PTAS","1","Privado","Física","BANFIELD","BUENOS AIRES","Masculino","1970","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-04-14","1976-09-29",1239,"QUILMES Nº 8","Buenos Aires","Nacional","","","FURGON CERRADO","19","FORD","15","F-7000","1","Privado","Física","QUILMES","BUENOS AIRES","No identificado","1979","ARGENTINA",100,"06","ARG"
