"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-09-14","2010-05-27",1001,"ADROGUE Nº 1","Buenos Aires","Nacional","2010","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Jurídica","ADROGUE","BUENOS AIRES","No aplica","","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-09-26","1992-03-16",1143,"BAHIA BLANCA Nº 4","Buenos Aires","Nacional","1992","","CHASIS C/CABINA P/CAMION","29","MERCEDES BENZ","50","L 1215/42","1","Privado","Jurídica","BAHIA BLANCA","BUENOS AIRES","No aplica","1999","No aplica",60,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-09-13","2010-06-03",1270,"TIGRE Nº 5","Buenos Aires","Nacional","2010","","MICROOMNIBUS","79","AGRALE","01","MT 15.0 LE","2","Público","Jurídica","EL TALAR-TIGRE","BUENOS AIRES","No aplica","1997","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-09-13","2010-09-06",1270,"TIGRE Nº 5","Buenos Aires","Nacional","2010","","MICROOMNIBUS","79","AGRALE","02","MT 12.0 LE","2","Público","Jurídica","EL TALAR-TIGRE","BUENOS AIRES","No aplica","1997","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-09-14","1999-05-12",1022,"CORONEL SUAREZ","Buenos Aires","Nacional","1999","","BERLINA 3 PTAS.","37","RENAULT","CA","CLIO RL 3PTAS.","1","Privado","Física","SAN JOSÉ","BUENOS AIRES","Femenino","1973","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-09-13","1996-07-25",1025,"CHASCOMUS","Buenos Aires","Nacional","1996","","CHASIS C/CAB.TANQUE","29","MERCEDES BENZ","51","BM 384 VERSION 1215","1","Privado","Física","CHASCOMUS","BUENOS AIRES","No identificado","1962","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-09-07","1990-03-09",1050,"LINCOLN Nº 1","Buenos Aires","Nacional","1990","","BERLINA 4 PUERTAS","37","RENAULT","66","RENAULT 18 GXE","1","Privado","Física","LINCOLN","BUENOS AIRES","Masculino","1965","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-09-19","2004-08-12",1055,"LUJAN Nº 1","Buenos Aires","Protocolo 21","2004","","MICROOMNIBUS","092","MERCEDES BENZ","167","OF-1417","2","Público","Jurídica","LUJAN","BUENOS AIRES","No aplica","2003","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-09-18","1972-10-06",1063,"MIRAMAR","Buenos Aires","Nacional","","","JEEP","","IKA","","JEEP","1","Privado","Física","MIRAMAR","BUENOS AIRES","Masculino","1971","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-09-18","1972-04-10",1063,"MIRAMAR","Buenos Aires","Nacional","","","SEDAN","99","I.K.A.","99","1961","1","Privado","Física","MIRAMAR","BUENOS AIRES","Masculino","1971","Argentina",100,"06","ARG"
