"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-01-03","1996-09-30",1043,"LA PLATA Nº 01","Buenos Aires","Nacional","1996","","BERLINA","37","RENAULT","BB","CLIO RT 5PTAS.","1","Privado","Física","LA PLATA","BUENOS AIRES","Femenino","1959","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-01-26","1994-01-13",1052,"LOBOS","Buenos Aires","Importado","1994","","FURGON VIDRIADO","","FIAT","","DUCATO 10 D","1","Privado","Física","LOBOS","BUENOS AIRES","No identificado","1971","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-01-26","1997-09-05",1059,"MAR DEL PLATA Nº 02","Buenos Aires","Nacional","1997","","BERLINA 4 PTAS","37","RENAULT","AY","RENAULT 19 RL (TRI)","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Femenino","1958","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-01-31","1994-06-02",1076,"PUNTA ALTA N° 1","Buenos Aires","Importado","1994","","SEDAN","111","RENAULT","111","19 RT","1","Privado","Física","PUNTA ALTA","BUENOS AIRES","No identificado","1978","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-01-05","1996-07-05",1115,"MORON Nº 01","Buenos Aires","Nacional","1996","","BERLINA 5 PTAS","37","RENAULT","AH","RENAULT 19 RN INYEC. (BIC)","1","Privado","Física","CASTELAR MORON","BUENOS AIRES","Masculino","1968","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-01-24","2013-01-02",1119,"MORON Nº 03","Buenos Aires","Nacional","2012","DM","SIN ESPECIFICACION","08","CHEVROLET","17","AGILE 5P LT SPIRIT 1.4","1","Privado","Física","HAEDO-MORON","BUENOS AIRES","No identificado","1978","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-01-09","1996-07-30",1182,"SAN NICOLAS Nº 2","Buenos Aires","Nacional","1996","","BERLINA","37","RENAULT","BB","CLIO RT 5PTAS.","1","Privado","Física","SAN NICOLAS","BUENOS AIRES","Femenino","1971","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-01-04","1994-09-09",1210,"ESTEBAN ECHEVERRIA Nº 3","Buenos Aires","Nacional","1994","","BERLINA 5 PTAS.","37","RENAULT","90","RENAULT 19 RN (BIC)","1","Privado","Física","NUEVE DE ABRIL","BUENOS AIRES","Masculino","1947","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-01-24","1985-01-17",1210,"ESTEBAN ECHEVERRIA Nº 3","Buenos Aires","Nacional","1985","","SEDAN 5 PUERTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","Femenino","1969","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-01-31","1998-02-11",1238,"TIGRE Nº 4","Buenos Aires","Nacional","1998","","BERLINA 5 PUERTAS","37","RENAULT","BC","CLIO RT 5PTAS.AA.DA./98","1","Privado","Física","TIGRE","BUENOS AIRES","Femenino","1954","Argentina",50,"06","ARG"
