"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-10-02","1982-02-04",21055,"SANTA FE Nº 5","Santa Fe","Nacional","1982","","COUPE 2 PUERTAS","41","TORINO","04","TORINO ZX","1","Privado","Física","COLASTINE SUR","SANTA FE","Femenino","1962","ARGENTINA",100,"82","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-10-19","1974-11-13",21057,"ROSARIO Nº 14","Santa Fe","Nacional","","","CHASIS C/C PICK-UP","19","FORD","11","F-100","1","Privado","Jurídica","ROSARIO","SANTA FE","No aplica","1987","No aplica",100,"82",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-10-21","1997-10-20",22005,"TINTINA","Santiago del Estero","Nacional","1997","","BERLINA 5 PTAS.","37","RENAULT","BV","CLIO RN 5PTAS A.A.","1","Privado","Física","TINTINA","SGO.DEL ESTERO","Masculino","1957","ARGENTINA",100,"86","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-10-20","1994-06-22",24005,"RIO GRANDE Nº 3","Tierra del Fuego","Importado","1994","","SEDAN","","ALEKO","","2141","1","Privado","Física","RIO GRANDE","T.DEL FUEGO","No identificado","1974","No identificado",100,"94",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-10-19","1988-02-15",1010,"BALCARCE","Buenos Aires","Nacional","1988","","MICROOMNIBUS","29","MERCEDES BENZ","39","OH 1314/46","2","Público","Física","BALCARCE","BUENOS AIRES","Masculino","1965","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-10-07","1985-11-18",1030,"FLORENCIO VARELA Nº 1","Buenos Aires","Nacional","1985","","BERLINA 5 PTAS.","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","FLORENCIO VARELA","BUENOS AIRES","Masculino","1962","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-10-28","2010-12-16",1100,"TRES DE FEBRERO Nº 1","Buenos Aires","Nacional","2010","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","PABLO PODESTA","BUENOS AIRES","Femenino","1972","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/EXPORT. DEFINITIVA","2020-10-23","2002-05-20",1114,"CAÑUELAS","Buenos Aires","Nacional","2002","","SEMIRREMOLQUE BARAND","BT","LUIS IGLESIAS","01","3  EJES S.B.V.","1","Privado","Física","CAÑUELAS","BUENOS AIRES","Masculino","1984","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-10-15","2013-06-03",1131,"CAPILLA DEL SEÑOR","Buenos Aires","Nacional","2013","","FURGON VIDRIADO C/ASIENTOS","34","PEUGEOT","KE","PARTNER CONFORT 1.4","1","Privado","Física","CAPILLA DEL SEÑOR","BUENOS AIRES","Masculino","1968","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-10-29","1993-12-28",1133,"SAN MIGUEL Nº 3","Buenos Aires","Importado","1993","","OMNIBUS","092","MERCEDES BENZ","050","O-371 RSD","1","Privado","Física","BELLA VISTA","BUENOS AIRES","No identificado","1960","ARGENTINA",100,"06","ARG"
