"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-07-06","2012-01-12",1041,"BENITO JUAREZ","Buenos Aires","Nacional","2012","","FURGON VID.C/ASIENTO","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","BENITO JUAREZ","BUENOS AIRES","Masculino","1968","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-07-06","2004-06-23",1045,"LA PLATA Nº 03","Buenos Aires","Nacional","2004","","BERLINA 4 PTAS","37","RENAULT","NG","MEGANE PRIVILEGE TD TRIC","1","Privado","Física","TOLOSA-LA PLATA","BUENOS AIRES","Masculino","1961","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-07-24","1994-05-17",1046,"LA PLATA Nº 04","Buenos Aires","Nacional","1994","","BERLINA 5 PTAS.","37","RENAULT","9Z","RENAULT 19 RN -BIC-","1","Privado","Física","LA PLATA","BUENOS AIRES","Masculino","1973","Argentina",50,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-07-02","2000-05-24",1062,"MERLO Nº 1","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 DOOR WIND 1.6 MPFI","1","Privado","Física","FRANCISCO ALVAREZ","BUENOS AIRES","Femenino","1995","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-07-25","1997-10-17",1091,"MONTE","Buenos Aires","Nacional","1997","","BERLINA 3TAS.","37","RENAULT","CB","CLIO RL 3 PTAS. A.A.","1","Privado","Física","SAN MIGUEL DEL MONTE","BUENOS AIRES","Femenino","1971","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-07-23","2012-08-08",1096,"TIGRE Nº 1","Buenos Aires","Importado","2012","","SEDAN 3PTAS.C/PORTON","058","HYUNDAI","983","VELOSTER","1","Privado","Física","DON TORCUATO","BUENOS AIRES","Masculino","1953","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-07-20","1999-10-29",1121,"MAR DEL PLATA Nº 03","Buenos Aires","Nacional","1999","","BERLINA 3 PTAS.","37","RENAULT","EL","CLIO RL DIESEL 3 PTAS DA","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1980","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-07-19","1988-07-11",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","1988","","MICROOMNIBUS","60","EL DETALLE","01","OA-101","1","Privado","Física","TAPIALES","BUENOS AIRES","Masculino","1973","Perú",100,"06","PER"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-07-24","1992-01-14",1129,"CAPITAN SARMIENTO","Buenos Aires","Nacional","1992","","BERLINA 4 PUERTAS","37","RENAULT","62","RENAULT 21 TXE","1","Privado","Física","CAPITAN SARMIENTO","BUENOS AIRES","Femenino","1982","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-07-18","1997-03-26",1131,"CAPILLA DEL SEÑOR","Buenos Aires","Nacional","1997","","BERLINA 3 PTAS","37","RENAULT","BS","CLIO RN 3PTAS.PACK AA.","1","Privado","Física","CAPILLA DEL SEÑOR","BUENOS AIRES","Masculino","1976","Argentina",100,"06","ARG"
