"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-17","1986-10-24",13003,"GENERAL SAN MARTIN Nº 1","Mendoza","Nacional","1985","","COUPE 2 PUERTAS","37","RENAULT","14","RENAULT FUEGO GTX","1","Privado","Física","SAN MARTIN","MENDOZA","Masculino","1991","ARGENTINA",100,"50","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2021-05-21","2008-01-15",1112,"NAVARRO","Buenos Aires","Nacional","2008","","FURGON VIDRIADO C/AS","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Física","NAVARRO","BUENOS AIRES","Masculino","1951","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-06","1997-07-21",2032,"CAPITAL FEDERAL Nº 032","Ciudad Autónoma de Bs.As.","Nacional","1997","","BERLINA 5 PTAS.","37","RENAULT","AH","RENAULT  19 RN INYEC. -BIC-","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1940","No identificado",50,"02",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-11","2006-01-09",1257,"MORENO Nº 3","Buenos Aires","Nacional","2006","","FURGON 600","34","PEUGEOT","DM","PARTNER FURGON 1.4 N PRESENCE","1","Privado","Física","MORENO","BUENOS AIRES","Femenino","1998","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-18","1999-12-23",1293,"PILAR Nº 4","Buenos Aires","Nacional","1999","","BERLINA 4 PTAS","37","RENAULT","CJ","MEGANE RT TRIC. ABCP","1","Privado","Física","DEL VISO","BUENOS AIRES","Femenino","1994","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-20","1992-04-28",1024,"CHACABUCO","Buenos Aires","Nacional","1992","","BERLINA 4 PTAS","37","RENAULT","54","RENAULT 18 GTD","1","Privado","Física","CHACABUCO","BUENOS AIRES","Femenino","1966","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/EXPORT. DEFINITIVA","2021-05-03","1971-07-14",1200,"SAN MARTIN Nº 6","Buenos Aires","Nacional","1962","","AUTOMOVIL","99","VALIANT","99","1962","1","Privado","Física","VILLA MAIPU","BUENOS AIRES","Masculino","1947","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-19","2007-03-13",2035,"CAPITAL FEDERAL Nº 035","Ciudad Autónoma de Bs.As.","Nacional","2007","","SEMI-ACOPLADO","92","PINCEN","25","SCS 15,5 2 1E","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","2006","No aplica",100,"02",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-21","1973-03-26",1033,"GENERAL BELGRANO","Buenos Aires","Nacional","1973","","ACOPLADO TANQUE","00","GIAGANTE Y TOMASSETTI","00","1973","1","Privado","Jurídica","GENERAL BELGRANO","BUENOS AIRES","No aplica","1990","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-06","1997-09-29",1250,"ITUZAINGÓ Nº 2 (EX. MORÓN Nº 11)","Buenos Aires","Nacional","1997","","BERLINA 5 PTAS.","37","RENAULT","BC","CLIO RT 5 PTAS. AA.DA.","1","Privado","Física","ITUZAINGO","BUENOS AIRES","Femenino","1954","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-03","1997-09-24",1310,"LA PLATA Nº 17","Buenos Aires","Nacional","1997","","BERLINA 5 PTAS.","37","RENAULT","BU","CLIO RN 5 PTAS.","1","Privado","Física","ETCHEVERRY","BUENOS AIRES","Femenino","1982","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-31","1999-01-05",1064,"MORENO Nº 1","Buenos Aires","Nacional","1999","","TRANSPORTE DE PASAJE","15","SSANGYONG","02","ISTANA PRIME OMNI","1","Privado","Jurídica","MORENO","BUENOS AIRES","No aplica","1901","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-04","1997-01-22",1257,"MORENO Nº 3","Buenos Aires","Nacional","1997","","BERLINA 3 PT.AA","37","RENAULT","BD","CLIO RN 3 PTAS AA","1","Privado","Física","CUARTEL V","BUENOS AIRES","Femenino","1980","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2021-05-31","2008-10-22",1239,"QUILMES Nº 8","Buenos Aires","Nacional","2008","","FURGON COURT TYPE 600","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","QUILMES","BUENOS AIRES","Femenino","1947","ARGENTINA",50,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-13","1977-08-11",1242,"MAR DEL PLATA Nº 11","Buenos Aires","Nacional","1977","","COUPE 2 PTAS","19","FORD","21","TAUNUS VERSION GT","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-06","1994-05-16",1189,"FLORENCIO VARELA Nº 2","Buenos Aires","Importado","1994","","FURGON VIDRIADO CON ASIENTOS","","MERCEDES BENZ","","MB 180 D","1","Privado","Física","FCIO VARELA","BUENOS AIRES","No identificado","1988","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-31","1993-12-14",1064,"MORENO Nº 1","Buenos Aires","Nacional","1993","","FURGON","37","RENAULT","55","RENAULT TRAFIC","1","Privado","Jurídica","MORENO","BUENOS AIRES","No aplica","1901","No aplica",100,"06",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2021-05-18","2020-08-19",1068,"OLAVARRIA Nº 1","Buenos Aires","Protocolo 21","2019","","CA C/AB.P/GAN EN PIE","047","FORD","A82","CARGO 2042","1","Privado","Física","OLAVARRÍA","BUENOS AIRES","Masculino","1948","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-12","2007-07-23",2043,"CAPITAL FEDERAL Nº 043","Ciudad Autónoma de Bs.As.","Nacional","2007","","FOURGON C.TYPE 600","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1961","ARGENTINA",100,"02","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-20","2008-11-20",10006,"SAN SALVADOR DE JUJUY Nº 3","Jujuy","Protocolo 21","2008","","OMNIBUS","092","MERCEDES BENZ","168","O-500 RSD","2","Público","Jurídica","S. S. DE JUJUY","JUJUY","No aplica","1958","No aplica",100,"38",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-10","1997-04-25",4023,"MORTEROS","Córdoba","Nacional","1997","","BERLINA 3 PT. AA","37","RENAULT","BD","CLIO RN 3 PTAS. AA.","1","Privado","Física","MORTEROS","CORDOBA","Masculino","1996","ARGENTINA",100,"14","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-05-05","1996-11-21",1308,"MERLO Nº 4","Buenos Aires","Nacional","1995","","MICROOMNIBUS","29","MERCEDES BENZ","49","BMO 390 VERSION 1320","2","Público","Física","P.S.MARTIN","BUENOS AIRES","Femenino","1961","ARGENTINA",50,"06","ARG"
