"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-19","1995-01-18",1054,"LOS TOLDOS","Buenos Aires","Nacional","1995","","BERLINA 5 PUERTAS","37","RENAULT","90","19 RN BIC.","1","Privado","Física","LOS TOLDOS PDO GRAL VIAMONTE","BUENOS AIRES","No identificado","1982","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-12","1981-10-29",1062,"MERLO Nº 1","Buenos Aires","Nacional","1981","","RURAL FAMILIAR","34","PEUGEOT","07","504","1","Privado","Física","LIBERTAD","BUENOS AIRES","Masculino","1964","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-05","2005-10-11",1080,"ROJAS","Buenos Aires","Nacional","2005","","FURGON VIDRIADO C/ASIENTOS","37","RENAULT","NP","KANGOO RL EXPRESS DIE 1PCL AA","1","Privado","Física","ROJAS","BUENOS AIRES","Masculino","1996","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-21","1999-10-12",1096,"TIGRE Nº 1","Buenos Aires","Nacional","1999","","MICROOMNIBUS","29","MERCEDES BENZ","AA","BM0390 VS 1621","2","Público","Física","GENERAL PACHECO","BUENOS AIRES","Femenino","1959","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-05-22","2007-01-26",1117,"TRES DE FEBRERO Nº 2","Buenos Aires","Protocolo 21","2007","","PICK-UP CABINA Y MED","044","FIAT","816","STRADA ADVENTURE 1.7TD","1","Privado","Física","CASEROS-3 DE FEBRERO","BUENOS AIRES","No identificado","1971","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-05","1967-05-24",1123,"SAN MARTIN Nº 3","Buenos Aires","Nacional","1967","","TRASNPORTE DE CARGA","15","DODGE","12","D-200","1","Privado","Física","J.L.SUAREZ","BUENOS AIRES","Masculino","1962","ARGENTINA",50,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-15","2007-03-06",1153,"LA MATANZA Nº 05","Buenos Aires","Protocolo 21","2007","","MICROOMNIBUS","092","MERCEDES BENZ","168","OF1722","1","Privado","Física","RAMOS MEJIA","BUENOS AIRES","Masculino","1979","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-22","2000-07-21",1167,"LOMAS DE ZAMORA Nº 5","Buenos Aires","Nacional","2000","","FURGON VIDRIADO C/ASIENTOS","53","VOLKSWAGEN","02","CADDY 1.9 SD 99A","1","Privado","Física","LLAVALLOL","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-19","1994-01-11",1172,"TANDIL Nº 2","Buenos Aires","Protocolo 21","1993","","CAMIONETA","","MITSUBISHI","","L200 DOBLE CABINA","1","Privado","Jurídica","TANDIL","BUENOS AIRES","No aplica","2007","No aplica",100,"06",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-05-28","2007-01-05",1174,"LA MATANZA Nº 07","Buenos Aires","Protocolo 21","2007","","CHASIS C/CAB C/CAJA TERMICA","063","IVECO","122","DAILY 49.12","1","Privado","Física","LOMAS DEL MIRADOR","BUENOS AIRES","Masculino","1984","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-29","1995-06-06",1176,"SAN ISIDRO Nº 05","Buenos Aires","Nacional","1995","","MICROOMNIBUS","60","EL DETALLE","03","OA-101/6.17","2","Público","Física","BOULOGNE","BUENOS AIRES","No identificado","1958","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-18","1998-08-12",1189,"FLORENCIO VARELA Nº 2","Buenos Aires","Nacional","1998","","UNIDAD TRACTORA","51","SCANIA","56","R 114 GA 4X2 NZ 320","1","Privado","Física","FLORENCIO_VARELA","BUENOS AIRES","No identificado","1998","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-14","1998-04-08",1242,"MAR DEL PLATA Nº 11","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","51","CORSA GL 1.6 MPFI 4 PTAS","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1964","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-18","2000-07-10",1262,"PERGAMINO Nº 3","Buenos Aires","Nacional","2000","","RURAL 3 PUERTAS","34","PEUGEOT","03","PARPADDAA","1","Privado","Física","PERGAMINO","BUENOS AIRES","Masculino","1959","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-20","2009-01-22",1266,"MALVINAS ARGENTINAS Nº 3","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","TORTUGUITAS","BUENOS AIRES","Masculino","1942","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-19","2007-10-04",1274,"SAN CLEMENTE DEL TUYU","Buenos Aires","Protocolo 21","2007","","OMNIBUS","092","MERCEDES BENZ","165","OF 1721","2","Público","Jurídica","LAS TONINAS-PDO.DE LA COSTA","BUENOS AIRES","No aplica","2006","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-26","1999-10-27",1277,"VILLA GESELL","Buenos Aires","Nacional","1999","","BERLINA 3PTAS","37","RENAULT","CA","CLIO RL 3 PTAS","1","Privado","Física","VILLA GESELL","BUENOS AIRES","Masculino","1999","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-05-08","2008-10-29",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","2008","","FURGON VIDR.C/ASIENT","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Masculino","1964","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-14","2010-06-03",2069,"CAPITAL FEDERAL Nº 069","Ciudad Autónoma de Bs.As.","Nacional","2010","","MICROOMNIBUS","79","AGRALE","01","MT 15.0 LE","2","Público","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1961","No aplica",100,"02",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-29","1997-09-08",2086,"CAPITAL FEDERAL Nº 086","Ciudad Autónoma de Bs.As.","Nacional","1997","","MICROOMNIBUS","29","MERCEDES BENZ","49","BMO390 VERSION 1320","2","Público","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1945","ARGENTINA",100,"02","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-27","1981-03-03",3008,"CATAMARCA Nº 4","Catamarca","Importado","","","COUPE 3 PTAS","","TOYOTA","","CELICA LIFTBACK 1600 ST","1","Privado","Física","S.F.V. DE CATAMARCA","CATAMARCA","Femenino","1968","ARGENTINA",100,"10","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-05-19","2006-08-30",4040,"CORDOBA Nº 08","Córdoba","Nacional","2006","","SEMI ACOPLADO","92","PINCEN","25","SCS 15,4 2+1E","1","Privado","Jurídica","CORDOBA","CORDOBA","No aplica","1996","No aplica",100,"14",""
