"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-06-25","1992-07-01",13004,"SAN RAFAEL Nº 1","Mendoza","Importado","1992","","STATION WAGON","104","PEUGEOT","104","405 GR","1","Privado","Física","CIUDAD","MENDOZA","Femenino","1962","ARGENTINA",100,"50","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-06-15","1999-03-04",11009,"GENERAL PICO Nº 2","La Pampa","Nacional","1999","","MICROOMNIBUS","29","MERCEDES BENZ","11","BMO390 VS 1621","1","Privado","Física","GENERAL PICO","LA PAMPA","No identificado","1976","ARGENTINA",100,"42","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-06-25","2010-05-20",13029,"MENDOZA Nº 17","Mendoza","Protocolo 21","2010","","OMNIBUS","092","MERCEDES BENZ","168","OF1722","2","Público","Jurídica","SAN JOSE","MENDOZA","No aplica","1991","No aplica",100,"50",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2021-06-01","2012-07-13",1105,"CAMPANA Nº 1","Buenos Aires","Nacional","2012","","FURGON VIDRIADO C/ASIENTOS","34","PEUGEOT","KE","PARTNER CONFORT 1.4","1","Privado","Física","CAMPANA","BUENOS AIRES","Femenino","1958","ARGENTINA",50,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-06-30","1999-10-27",8015,"VILLAGUAY","Entre Ríos","Nacional","1999","","BERLINA 4 PTAS.","37","RENAULT","CZ","MEGANE RT DT TRIC/1999","1","Privado","Física","VILLAGUAY","ENTRE RIOS","Masculino","1960","ARGENTINA",100,"30","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-06-25","1998-02-03",1192,"MORON Nº 07","Buenos Aires","Nacional","1998","","FURGON 3000","29","MERCEDES BENZ","90","SPRINTER310D/F3000","1","Privado","Física","MORON","BUENOS AIRES","No identificado","1984","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-06-04","1970-04-02",13031,"MAIPU Nº 1- MENDOZA","Mendoza","Nacional","1970","","AUTOMOVIL UTILITARIO","","IKA RENAULT","","RENAULT 4","9","No declarado","Física","MAIPU MZA","MENDOZA","No identificado","1955","No identificado",100,"50",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-06-02","2009-08-05",13032,"MAIPU Nº 2","Mendoza","Nacional","2009","","FURGON 600","34","PEUGEOT","GH","PARTNER FURGON 1.4 N PLC CONFORT","1","Privado","Física","MAIPU","MENDOZA","No identificado","1969","ARGENTINA",100,"50","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-06-03","2001-05-23",1146,"MERLO Nº 2","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","67","CORSA 4PUERTAS GL1.7 DIESEL A","1","Privado","Física","MERLO","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-06-08","1986-02-13",18004,"SAN JUAN Nº 4","San Juan","Nacional","1986","","BERLINA 5 PTAS","37","RENAULT","20","11 TS","1","Privado","Física","Bº UDAP III - RIVADAVIA","SAN JUAN","No identificado","1982","ARGENTINA",100,"70","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-06-09","1995-03-30",8005,"CHAJARI","Entre Ríos","Nacional","1995","","MICROOMNIBUS","29","MERCEDES BENZ","49","BMO390 VERSION 1320","2","Público","Física","VILLA DEL ROSARIO","ENTRE RIOS","Masculino","1978","ARGENTINA",100,"30","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-06-25","1999-01-22",14013,"POSADAS Nº 4","Misiones","Nacional","1998","","MICROOMNIBUS","29","MERCEDES BENZ","96","BM0390 VS 1621","1","Privado","Física","POSADAS","MISIONES","Masculino","1964","ARGENTINA",100,"54","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-06-04","1993-04-01",10006,"SAN SALVADOR DE JUJUY Nº 3","Jujuy","Nacional","1993","","OMNIBUS","29","MERCEDES BENZ","46","OH 1316/51 DIESEL","2","Público","Jurídica","PALPALA","JUJUY","No aplica","1993","No aplica",100,"38",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-06-28","2009-11-18",1193,"LUJAN Nº 2","Buenos Aires","Nacional","","","MICROOMNIBUS","79","AGRALE","01","MT 15.0 LE","2","Público","Jurídica","LUJAN","BUENOS AIRES","No aplica","1962","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-06-09","1973-05-30",15014,"VILLA LA ANGOSTURA","Neuquén","Nacional","","","ACOPLADO CHINCHORRO","","HELVETICA","","1967","1","Privado","Física","VILLA LA ANGOSTURA","NEUQUEN","No identificado","1958","ARGENTINA",100,"58","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-06-30","1993-09-10",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","1993","","MICROOMNIBUS","29","MERCEDES BENZ","46","OH 1316/51 DIESEL","2","Público","Física","LA MATANZA","BUENOS AIRES","No identificado","1963","ARGENTINA",100,"06","ARG"
