"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-04-09","2009-04-28",1048,"LAPRIDA","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","LAPRIDA","BUENOS AIRES","Masculino","1979","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-04-10","1999-11-05",1051,"LOBERIA","Buenos Aires","Nacional","1999","","S.WAGON","08","CHEVROLET","66","CORSA WAGON 5 PTAS. GLS 1.7D","1","Privado","Física","SAN MANUEL-PDO.LOBERIA","BUENOS AIRES","No identificado","1970","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-04-09","2008-09-02",1055,"LUJAN Nº 1","Buenos Aires","Nacional","2008","","FURGON VID S/ASIENTO","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","LUJAN","BUENOS AIRES","No identificado","1978","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-04-18","1988-05-17",1092,"SAN NICOLAS Nº 1","Buenos Aires","Nacional","1988","","BERLINA 5 PTAS","37","RENAULT","42","R-11 GTL","1","Privado","Física","SAN NICOLAS","BUENOS AIRES","No identificado","1982","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-04-19","1994-08-30",1096,"TIGRE Nº 1","Buenos Aires","Nacional","1994","","CHASIS C/CABINA P/CAMION","29","MERCEDES BENZ","5Z","L 1215/48","1","Privado","Jurídica","EL TALAR","BUENOS AIRES","No aplica","1997","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-04-17","2000-07-25",1113,"SAN VICENTE","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","76","CORSA WIND 1.7 DIESEL -3P","1","Privado","Física","A.KORN","BUENOS AIRES","Masculino","1987","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-04-05","2006-05-26",1121,"MAR DEL PLATA Nº 03","Buenos Aires","Nacional","2006","","FURGON 600","34","PEUGEOT","DS","PARTNER FURGON 1.9 D PRESENCE","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1966","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-04-04","2001-03-20",1142,"BAHIA BLANCA Nº 3","Buenos Aires","Nacional","2000","","BERLINA 4 PTAS","37","RENAULT","EY","MEGANE RXE TD TRI S/TC CUERO F2","1","Privado","Física","BAHÍA BLANCA","BUENOS AIRES","Masculino","1958","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-04-03","2005-02-10",1150,"AVELLANEDA Nº 3","Buenos Aires","Protocolo 21","2005","","FURGON VIDRIADO","044","FIAT","305","FIORINO 1.7 TD","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Femenino","1960","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-04-18","2006-06-29",1213,"CARMEN DE ARECO","Buenos Aires","Nacional","2006","","SEDAN 4 PUERTAS","37","RENAULT","PX","MEGANE TRI AUTHENTIQUE 1.6+GNC PACK","1","Privado","Física","CARMEN DE ARECO","BUENOS AIRES","Masculino","1951","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-04-19","2006-12-06",1232,"HURLINGHAM Nº 2 (EX. MORON Nº 10)","Buenos Aires","Nacional","2006","","FURGON 600","34","PEUGEOT","DM","PARTNER FURGON 1.4 N PRESENCE","1","Privado","Física","EL PALOMAR* MORON","BUENOS AIRES","Masculino","1967","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-04-20","1995-02-28",1242,"MAR DEL PLATA Nº 11","Buenos Aires","Importado","1995","","BERLINA 3 PTAS","","RENAULT","","TWINGO","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Femenino","1982","Argentina",100,"06","ARG"
