"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-10-08","1995-10-13",1011,"BARADERO","Buenos Aires","Nacional","1995","","MICROOMNIBUS","29","MERCEDES BENZ","49","BMO 390 VERSION 1320","2","Público","Jurídica","BARADERO","BUENOS AIRES","No aplica","1991","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-10-01","2007-08-16",1014,"BRANDSEN","Buenos Aires","Protocolo 21","2007","","TOLBA CARRETERA C/SI","092","MERCEDES BENZ","844","L-1624","1","Privado","Física","BRANDSEN","BUENOS AIRES","No identificado","1982","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-10-30","1978-02-14",1030,"FLORENCIO VARELA Nº 1","Buenos Aires","Nacional","","","COUPE 2 PUERTAS","19","FORD","21","TAUNUS VERSION GT","1","Privado","Física","FLORENCIO VARELA","BUENOS AIRES","No identificado","1976","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-10-02","1987-10-16",1033,"GENERAL BELGRANO","Buenos Aires","Nacional","1987","","BERLINA 5 PTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","GENERAL BELGRANO","BUENOS AIRES","Masculino","1963","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-10-15","2001-05-11",1043,"LA PLATA Nº 01","Buenos Aires","Importado","","","AUTOMOTOR","","RENAULT","","CLIO RL 1.9 D","0","Oficial","Jurídica","LA PLATA","BUENOS AIRES","No aplica","1900","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-10-29","1995-07-06",1056,"MAGDALENA","Buenos Aires","Protocolo 21","1995","","AUTOMOVIL","104","PEUGEOT","031","405 GR 1.8","1","Privado","Física","MAGDALENA","BUENOS AIRES","Masculino","1987","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2019-10-07","2009-04-06",1058,"MAR DEL PLATA Nº 01","Buenos Aires","Nacional","2009","","FURGON COURT TYPE 600","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1985","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-10-04","1995-01-19",1068,"OLAVARRIA Nº 1","Buenos Aires","Nacional","1995","","RURAL 5 PTAS","99","FIAT","99","ELBA CSL 1.7 CC (DIESEL)","1","Privado","Física","OLAVARRIA","BUENOS AIRES","No identificado","1965","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2019-10-16","1998-01-30",1080,"ROJAS","Buenos Aires","Nacional","1998","","BERLINA 5 PTAS","37","RENAULT","CD","CLIO RL DIESEL 5 PTAS DA.","1","Privado","Física","ROJAS","BUENOS AIRES","Femenino","1984","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2019-10-29","2006-03-06",1082,"SALADILLO","Buenos Aires","Nacional","2006","","FURGON 600","34","PEUGEOT","DP","PARTNER FURGON 1.4 N CONFORT","1","Privado","Física","DEL CARRIL","BUENOS AIRES","Femenino","1985","ARGENTINA",100,"06","ARG"
