"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-12-11","1974-03-25",1023,"CORONEL VIDAL","Buenos Aires","Nacional","1974","","REMOLQUE FURGON","99","CM","99","RFSA","1","Privado","Jurídica","GRAL. PIRAN * MAR CHIQUITA","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-12-03","2000-08-09",1014,"BRANDSEN","Buenos Aires","Nacional","2000","","FURGON VIDRIADO C/ASIENTOS","37","RENAULT","EF","KANGOO RL EXPRESS DIE DA","1","Privado","Física","BRANDSEN","BUENOS AIRES","Masculino","1979","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-12-18","2003-07-01",1025,"CHASCOMUS","Buenos Aires","Nacional","1984","","RURAL 4 PTAS","19","FORD","06","FALCON RURAL VER.LUJO","1","Privado","Física","CHASCOMUS","BUENOS AIRES","No identificado","1960","No identificado",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-12-18","1997-12-29",1060,"MEDANOS","Buenos Aires","Importado","1997","","TRACTOR","112","RENAULT","282","PREMIUM 385.19T","1","Privado","Física","TRES ARROYOS","BUENOS AIRES","Masculino","1974","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-12-09","1998-04-27",1061,"MERCEDES Nº 1","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","52","CORSA GL 1.6 MPFI 4P C/AA","1","Privado","Física","GOLDNEY","BUENOS AIRES","Masculino","1987","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-12-17","2012-07-27",1064,"MORENO Nº 1","Buenos Aires","Nacional","2012","","CAMION VOLCADOR","29","MERCEDES BENZ","CR","693 VERSION 1720/36","0","Oficial","Jurídica","MORENO","BUENOS AIRES","No aplica","2011","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-12-16","2010-03-23",1083,"SALTO","Buenos Aires","Nacional","2010","","ACOPLADO CARGA GENER","CR","PONY","77","ACG 4.5","1","Privado","Jurídica","MUNRO","BUENOS AIRES","No aplica","1958","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-12-15","1994-03-25",1090,"SAN MIGUEL Nº 1","Buenos Aires","Nacional","1994","","MICROOMNIBUS","29","MERCEDES BENZ","47","OHL 1316/51","2","Público","Física","SAN MIGUEL","BUENOS AIRES","No identificado","1988","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-12-22","2007-08-15",1090,"SAN MIGUEL Nº 1","Buenos Aires","Nacional","2007","","FOURGON COURT TYPE 6","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","SAN MIGUEL","BUENOS AIRES","No identificado","1955","No identificado",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-12-04","2003-11-20",1091,"MONTE","Buenos Aires","Importado","","","AUTOMOTOR","","FIAT DUNA DIESEL 1.3","","1996","0","Oficial","Jurídica","SAN MIGUEL DEL MONTE","BUENOS AIRES","No aplica","1999","No aplica",100,"06",""
