"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA P/EXPORT. DEFINITIVA","2020-06-26","2009-08-06",1067,"NUEVE DE JULIO Nº 1","Buenos Aires","Nacional","2009","","SEMIRREMOLQUE TANQUE","44","MILEI","37","SRT-2","1","Privado","Jurídica","9 DE JULIOº","BUENOS AIRES","No aplica","2005","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-06-05","1999-05-21",1090,"SAN MIGUEL Nº 1","Buenos Aires","Nacional","1999","","BERLINA 3 PTAS.","37","RENAULT","DV","CLIO RN 3P DIE PACK AA DA","1","Privado","Física","SAN MIGUEL","BUENOS AIRES","No identificado","1988","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-06-10","1976-10-07",1099,"TRES ARROYOS Nº 1","Buenos Aires","Nacional","1976","","CHASIS C/CABINA LARG","08","CHEVROLET","30","CHEVROLET 714","1","Privado","Jurídica","TRES ARROYOS / BS AS","BUENOS AIRES","No aplica","2003","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-06-17","2008-01-16",1113,"SAN VICENTE","Buenos Aires","Nacional","2008","","FURGON 600","34","PEUGEOT","GH","PARTNER FURGON 1.4 N PLC CONFORT","1","Privado","Física","ALEJANDRO_KORN","BUENOS AIRES","Masculino","1979","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-06-01","1992-10-29",1161,"ESTEBAN ECHEVERRIA Nº 2","Buenos Aires","Nacional","1992","","BOOGUIE PARA SEMI","19","SOLA Y BRUSA","37","SOLA Y BRUSA S-M/2-D-N 1992","1","Privado","Jurídica","ESTEBAN ECHEVERRIA","BUENOS AIRES","No aplica","1996","No aplica",100,"06",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-06-05","2007-05-24",1174,"LA MATANZA Nº 07","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","LOMAS DEL MIRADOR","BUENOS AIRES","Femenino","1972","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-06-25","2012-08-07",1187,"JUNIN Nº 2","Buenos Aires","Protocolo 21","2012","","FURGON VIDRIADO","112","RENAULT","732","MASTER PH3 DCI 120 L2H2 PKCNF","1","Privado","Jurídica","JUNIN","BUENOS AIRES","No aplica","2015","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-06-02","2009-02-10",1230,"ESCOBAR Nº 2","Buenos Aires","Nacional","2009","","FURGON VIDRIADO C/AS","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","GARIN","BUENOS AIRES","Masculino","1955","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-06-03","1999-08-19",1230,"ESCOBAR Nº 2","Buenos Aires","Nacional","1999","","BERLINA 5PTAS","37","RENAULT","DW","CLIO RN 5P DIE PACK AA DA","1","Privado","Física","GARIN","BUENOS AIRES","Femenino","1986","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-06-10","2008-09-19",1246,"LA PLATA Nº 12","Buenos Aires","Nacional","2008","","PICK-UP CAJA TERMICA","68","TOYOTA","21","HILUX 4X2 CABINA SIMPLE DX 2.5 TD","1","Privado","Física","LA PLATA","BUENOS AIRES","Femenino","1945","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-06-11","2009-01-05",1274,"SAN CLEMENTE DEL TUYU","Buenos Aires","Nacional","2009","","FOURGON COURT TYPE 600","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","GENERAL LAVALLE","BUENOS AIRES","Femenino","1976","ARGENTINA",100,"06","ARG"
