"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-08-19","2012-10-26",1008,"BAHIA BLANCA Nº 1","Buenos Aires","Protocolo 21","2012","","MINIBUS","112","RENAULT","733","MASTER PH3 DCI 120 L3H2 PKCNF","1","Privado","Jurídica","BAHIA BLANCA","BUENOS AIRES","No aplica","2001","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-08-12","1996-02-14",1010,"BALCARCE","Buenos Aires","Nacional","1996","","BERLINA 5 PTAS","37","RENAULT","AH","RENAULT 19 RN INYECCION BIC.","1","Privado","Física","BALCARCE","BUENOS AIRES","No identificado","1985","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-08-14","2011-06-22",1018,"CARMEN DE PATAGONES","Buenos Aires","Nacional","2011","","FURGON 800","34","PEUGEOT","KF","PARTNER PRESENCE PLC 1.6 HDI","1","Privado","Física","STROEDER","BUENOS AIRES","Femenino","1954","ARGENTINA",50,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-08-20","1971-06-16",1022,"CORONEL SUAREZ","Buenos Aires","Nacional","1964","","TRANSPORTE DE CARGA","19","FORD","11","1964","1","Privado","Jurídica","CORONEL SUAREZ","BUENOS AIRES","No aplica","1911","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-08-27","1998-09-04",1025,"CHASCOMUS","Buenos Aires","Nacional","1998","","MICROOMNIBUS","29","MERCEDES BENZ","96","BMO390 VS 1621","1","Privado","Física","LEZAMA","BUENOS AIRES","No identificado","1968","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-08-06","1998-01-14",1032,"GENERAL ARENALES","Buenos Aires","Importado","1997","","FURGON VIDRIADO C/ ASIENTOS","","FIAT","","DUCATO 2.5 D P.M. 1.4","1","Privado","Física","GENERAL ARENALES","BUENOS AIRES","Masculino","1962","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-08-10","2009-01-20",13024,"MENDOZA Nº 15","Mendoza","Nacional","2009","","RURAL 5 PUERTAS","53","VOLKSWAGEN","MA","SURAN SDI","1","Privado","Física","4º SECCION AREA FUNDACIONAL","MENDOZA","Masculino","1953","ARGENTINA",100,"50","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-08-31","1989-01-27",1052,"LOBOS","Buenos Aires","Nacional","1989","","BERLIN 5 PTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","LOBOS","BUENOS AIRES","Femenino","1973","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-08-05","2008-02-20",1071,"PELLEGRINI","Buenos Aires","Protocolo 21","2008","","PICK-UP CABINA DOBLE","024","CHEVROLET","824","S10 2.8TDI DLX ELECTRONIC CD","1","Privado","Física","TRES LOMAS","BUENOS AIRES","Masculino","1964","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-08-20","1994-05-30",21058,"ROSARIO Nº 15","Santa Fe","Nacional","1994","","BERLINA 5 PTAS","37","RENAULT","90","RENAULT 19 RN -BIC-","1","Privado","Física","ROSARIO","SANTA FE","No identificado","1989","ARGENTINA",100,"82","ARG"
