"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-09","1980-06-25",1007,"AZUL Nº 1","Buenos Aires","Importado","1976","","ACOPLADO","","FELIX GOBBI","","A-10","1","Privado","Jurídica","AZUL-BUENOS AIRES","BUENOS AIRES","No aplica","1981","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-26","1998-12-16",1028,"DOLORES","Buenos Aires","Nacional","1998","","MICROOMNIBUS","29","MERCEDES BENZ","96","BMO 390 VS 1621","1","Privado","Física","CASTELLI","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-16","1997-06-03",1056,"MAGDALENA","Buenos Aires","Nacional","1997","","MICROOMNIBUS","29","MERCEDES BENZ","53","BM0390 VERSION 1420 /1997","2","Público","Física","MAGDALENA","BUENOS AIRES","Masculino","1957","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-03","1986-09-03",1060,"MEDANOS","Buenos Aires","Nacional","1986","","MICROOMNIBUS","29","MERCEDES BENZ","36","OF 1214/45","1","Privado","Física","HILARIO ASCASUBI-VILLARINO","BUENOS AIRES","No identificado","1977","BOLIVIA",100,"06","BOL"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-24","2006-02-16",1068,"OLAVARRIA Nº 1","Buenos Aires","Nacional","2006","","SEMIRREMOLQUE","44","MILEI","37","SRT-2","1","Privado","Jurídica","OLAVARRIA","BUENOS AIRES","No aplica","2002","No aplica",100,"06",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-11-06","1997-05-12",1072,"PERGAMINO Nº 1","Buenos Aires","Nacional","1997","","BERLINA 3 PTAS","37","RENAULT","00","CLIO RN 3 PTAS A A","1","Privado","Física","PERGAMINO","BUENOS AIRES","Masculino","1978","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-27","1998-10-05",1079,"RAUCH","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","52","CORSA GL 1.6 MPFI 4P C/AA","1","Privado","Física","COLMAN","BUENOS AIRES","Femenino","1983","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-17","2006-06-15",1128,"SAN MIGUEL Nº 2","Buenos Aires","Nacional","2006","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","SAN MIGUEL","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-30","1989-01-19",1151,"AVELLANEDA Nº 4","Buenos Aires","Nacional","1989","","MICROOMNIBUS","17","FIAT","57","130 AU","2","Público","Física","AVELLANEDA","BUENOS AIRES","Masculino","1964","ARGENTINA",50,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-10","1997-09-12",1154,"LA MATANZA Nº 06","Buenos Aires","Nacional","1997","","MICROOMNIBUS","29","MERCEDES BENZ","49","BM0390 VERSION 1320","2","Público","Física","MAXIMO PAZ","BUENOS AIRES","Femenino","1989","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-12","1999-01-05",1190,"ZARATE Nº 2","Buenos Aires","Nacional","1999","","BERLINA 3PTAS","37","RENAULT","CA","CLIO RL 3PTAS.","1","Privado","Física","ZÁRATE","BUENOS AIRES","Masculino","1991","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-03","1994-12-15",1195,"TIGRE Nº 3","Buenos Aires","Protocolo 21","1994","","SEDAN","","LADA","","LAIKA 21074","1","Privado","Física","TIGRE","BUENOS AIRES","No identificado","1982","PERU",100,"06",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-11-04","2007-04-13",1204,"MALVINAS ARGENTINAS Nº 2 (EX. SAN MIGUEL NRO. 5)","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Física","MALVINAS ARGENTINAS","BUENOS AIRES","Masculino","1974","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-06","1981-01-15",1218,"MORON Nº 04 (EX. MORON Nº 9)","Buenos Aires","Importado","1980","","SEDAN 4 PUERTAS","027","CITROEN","065","VISA CLUB","1","Privado","Física","CASTELAR","BUENOS AIRES","Masculino","1997","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-13","2006-04-27",1234,"ADROGUE Nº 4","Buenos Aires","Nacional","2006","","FOURGON COURT TYPE 6","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","CLAYPOLE","BUENOS AIRES","Masculino","1986","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-10","1992-02-07",1268,"TANDIL Nº 3","Buenos Aires","Nacional","1992","","MICROOMNIBUS","29","MERCEDES BENZ","36","OF 1214/45 FV","1","Privado","Física","TANDIL","BUENOS AIRES","Femenino","1947","ARGENTINA",50,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-27","1985-08-30",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","1985","","RURAL 4 PUERTAS","37","RENAULT","17","RENAULT 12 GTS BREAK","1","Privado","Física","C. SPEGAZZINI, EZEIZA","BUENOS AIRES","No identificado","1946","No identificado",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-09","1998-01-09",2004,"CAPITAL FEDERAL Nº 004","Ciudad Autónoma de Bs.As.","Nacional","1998","","MICROOMNIBUS","29","MERCEDES BENZ","49","BMO390 VERSION 1320","2","Público","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","2010","No aplica",100,"02",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-04","1971-08-05",2013,"CAPITAL FEDERAL Nº 013","Ciudad Autónoma de Bs.As.","Nacional","1971","","TTE. DE CARGA","08","CHEVROLET","18","C-60","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1979","ARGENTINA",100,"02","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-09","1995-05-10",2029,"CAPITAL FEDERAL Nº 029","Ciudad Autónoma de Bs.As.","Nacional","1995","","MICROOMNIBUS","29","MERCEDES-BENZ","49","BM0390 VERSION 1320","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Femenino","1962","ARGENTINA",100,"02","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-02","2008-07-16",2040,"CAPITAL FEDERAL Nº 040","Ciudad Autónoma de Bs.As.","Protocolo 21","2008","","OMNIBUS","080","AGRALE","160","MT 12.0 LE","2","Público","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1962","No aplica",100,"02",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-03","2008-06-02",2040,"CAPITAL FEDERAL Nº 040","Ciudad Autónoma de Bs.As.","Protocolo 21","2008","","OMNIBUS","080","AGRALE","044","MT 12.0 LE","2","Público","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1966","No aplica",100,"02",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-13","2009-12-22",2046,"CAPITAL FEDERAL Nº 046","Ciudad Autónoma de Bs.As.","Nacional","2009","","UTILITARIO","08","CHEVROLET","CD","CORSA CLASSIC 3 P CARDO 1.4N","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Femenino","1969","ARGENTINA",100,"02","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-25","1998-03-05",2046,"CAPITAL FEDERAL Nº 046","Ciudad Autónoma de Bs.As.","Nacional","1998","","BERLINA 4 PTAS","37","RENAULT","CJ","MEGANE RT TRIC ABCP","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Femenino","1965","ARGENTINA",100,"02","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-11-26","2009-09-08",2053,"CAPITAL FEDERAL Nº 053","Ciudad Autónoma de Bs.As.","Nacional","2009","","UTILITARIO","08","CHEVROLET","CD","CORSA CLASSIC 3 P CARGO 1.4N","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","2018","No aplica",100,"02",""
