"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-05-22","1999-10-28",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","1999","","RURAL 4 PUERTAS","19","FORD","JK","ESCORT RURAL LX 1.8 D","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","Femenino","1991","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-05-17","1998-03-25",1052,"LOBOS","Buenos Aires","Nacional","1998","","BERLINA 3 PTAS.","37","RENAULT","BD","CLIO RN 3PTAS. AA","1","Privado","Física","EMPALME LOBOS","BUENOS AIRES","No identificado","1964","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-05-09","1975-01-22",1058,"MAR DEL PLATA Nº 01","Buenos Aires","Nacional","","","MEHARI","07","CITROEN","05","CITROEN AZAM-M28 / 1974","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Femenino","1977","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-05-09","1994-06-03",1072,"PERGAMINO Nº 1","Buenos Aires","Nacional","1994","","BERLINA 5 PTAS.","37","RENAULT","90","RENAULT 19 RN BIC","1","Privado","Física","PERGAMINO","BUENOS AIRES","Masculino","1976","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-05-04","1991-10-25",1062,"MERLO Nº 1","Buenos Aires","Nacional","1991","","MICROOMNIBUS","62","ZANELLO","01","UN 9.60","1","Privado","Física","MERLO","BUENOS AIRES","Masculino","1950","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-05-16","1999-04-14",1115,"MORON Nº 01","Buenos Aires","Nacional","1999","","TRANSPORTE DE CARGA","65","DEUTZ AGRALE","14","STARK-17 CH/LARGO","1","Privado","Física","MORON","BUENOS AIRES","No identificado","1946","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-05-09","2008-02-08",1117,"TRES DE FEBRERO Nº 2","Buenos Aires","Protocolo 21","2008","","FURGON VIDRIADO","112","RENAULT","562","MASTER DCI 120 CORTO","1","Privado","Física","CDAD J PALOMAR","BUENOS AIRES","Masculino","1989","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-05-21","2007-01-16",1118,"QUILMES Nº 2","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DP","PARTNER FURGON 1.4 N CONFORT 2007","1","Privado","Física","BERNAL","BUENOS AIRES","Masculino","1976","Argentina",50,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-05-28","2001-09-26",1119,"MORON Nº 03","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","78","CORSA GL 1.6 MPFI 3P (AA+DP)","1","Privado","Física","CASTELAR","BUENOS AIRES","Femenino","1997","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-05-16","1997-04-29",1121,"MAR DEL PLATA Nº 03","Buenos Aires","Nacional","1997","","BERLINA 5 PTAS","37","RENAULT","AH","RENAULT 19 RN INYEC.(BIC)","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Femenino","1976","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-05-07","2000-01-27",1145,"QUILMES Nº 4","Buenos Aires","Nacional","2000","","PICK UP S/C","29","MERCEDES BENZ","95","SPRINTER 310D/P3550","1","Privado","Física","QUILMES","BUENOS AIRES","No identificado","1977","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-05-08","1998-05-29",1148,"LOMAS DE ZAMORA Nº 4","Buenos Aires","Nacional","1998","","BERLINA 3 PTAS.","37","RENAULT","CC","CLIO RL DIESEL 3 PTAS.","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","Masculino","1964","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-05-08","2010-11-16",1064,"MORENO Nº 1","Buenos Aires","Nacional","2010","","SEMIRREMOLQUE BATEA","AS","PETINARI","30","SEM B 3 (1+2)E72010","0","Oficial","Jurídica","MORENO","BUENOS AIRES","No aplica","1901","No aplica",100,"06",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-05-23","2001-03-05",1161,"ESTEBAN ECHEVERRIA Nº 2","Buenos Aires","Nacional","2001","","RURAL 3 PUERTAS","34","PEUGEOT","03","PARPADDAA","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","Masculino","1956","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-05-11","2000-05-05",1169,"OLIVOS Nº 05","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 DOOR WIND 1.6 MPFI","1","Privado","Física","OLIVOS","BUENOS AIRES","Masculino","1941","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-05-30","2010-06-25",1192,"MORON Nº 07","Buenos Aires","Nacional","2010","","FURGON 800","34","PEUGEOT","KE","PARTNER CONFORT 1.4","1","Privado","Física","CASTELAR","BUENOS AIRES","Masculino","1959","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-05-09","1997-10-08",1203,"MALVINAS ARGENTINAS Nº 1 (EX. SAN MIGUEL NRO. 4)","Buenos Aires","Nacional","1997","","BERLINA 5 PTAS.","37","RENAULT","CV","CLIO RN 5 PTAS PACK A.A.","1","Privado","Física","VILLA DE MAYO","BUENOS AIRES","Masculino","1978","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-05-28","2000-04-05",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","61","CORSA 4PTAS. WIND 1.7 D","1","Privado","Física","GONZALEZ CATAN","BUENOS AIRES","Masculino","1953","Argentina",100,"06","ARG"
