"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA P/EXPORT. DEFINITIVA","2020-04-24","2010-03-10",1067,"NUEVE DE JULIO Nº 1","Buenos Aires","Nacional","2010","","SEMIRREMOLQUE TANQUE","44","MILEI","37","SRT-2","1","Privado","Jurídica","9 DE JULIO","BUENOS AIRES","No aplica","2005","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/EXPORT. DEFINITIVA","2020-04-24","2010-01-13",1067,"NUEVE DE JULIO Nº 1","Buenos Aires","Nacional","2010","","SEMIRREMOLQUE TANQUE","44","MILEI","37","SRT-2","1","Privado","Jurídica","9 DE JULIO","BUENOS AIRES","No aplica","2005","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/EXPORT. DEFINITIVA","2020-04-24","2010-09-23",1067,"NUEVE DE JULIO Nº 1","Buenos Aires","Nacional","2010","","SEMIRREMOLQUE TANQUE","44","MILEI","37","SRT-2","1","Privado","Jurídica","9 DE JULIO","BUENOS AIRES","No aplica","2005","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-04-22","2011-06-28",1062,"MERLO Nº 1","Buenos Aires","Nacional","2011","","FURGON 800","34","PEUGEOT","KE","PARTNER CONFORT 1.4","1","Privado","Física","MERLO","BUENOS AIRES","Masculino","1991","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/EXPORT. DEFINITIVA","2020-04-24","2010-09-23",1283,"NUEVE DE JULIO Nº 2","Buenos Aires","Nacional","2010","","SEMIRREMOLQUE TANQUE","44","MILEI","37","SRT-2","1","Privado","Jurídica","9 DE JULIO","BUENOS AIRES","No aplica","2005","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/EXPORT. DEFINITIVA","2020-04-24","2010-03-09",1283,"NUEVE DE JULIO Nº 2","Buenos Aires","Nacional","2010","","SEMIRREMOLQUE TANQUE","44","MILEI","37","SRT-2","1","Privado","Jurídica","9 DE JULIO","BUENOS AIRES","No aplica","2005","No aplica",100,"06",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-04-30","2000-03-10",1289,"QUILMES Nº 9","Buenos Aires","Nacional","2000","","BERLINA 3PTAS","37","RENAULT","CA","CLIO RL 3PTAS","1","Privado","Física","EZPELETA","BUENOS AIRES","Masculino","1996","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-04-27","2012-06-15",2075,"CAPITAL FEDERAL Nº 075","Ciudad Autónoma de Bs.As.","Nacional","2012","","MICROOMNIBUS","78","MATERFER","06","BU 1316 LE","2","Público","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1962","No aplica",100,"02",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2020-04-30","2001-10-26",2102,"CAPITAL FEDERAL Nº 102","Ciudad Autónoma de Bs.As.","Nacional","2001","","RURAL 5 PUERTAS","19","FORD","NB","ESCORT RURAL LX 1.6 N","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1974","No identificado",100,"02",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2020-04-22","2008-02-12",4058,"EMBALSE","Córdoba","Protocolo 21","2008","","PICK-UP CABINA DOBLE","024","CHEVROLET","824","S10 2.8TDI DLX 4X4 ELECTRONIC CD","1","Privado","Física","EMBALSE","CORDOBA","Masculino","1975","ARGENTINA",100,"14","ARG"
