"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-06-06","2004-12-01",1052,"LOBOS","Buenos Aires","Nacional","2004","","FURGON 600","34","PEUGEOT","DM","PARTNER FURGON 1.4 N PRESENCE","1","Privado","Física","LOBOS","BUENOS AIRES","Masculino","1963","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-06-04","1994-10-13",1053,"LOMAS DE ZAMORA Nº 1","Buenos Aires","Importado","1994","","SEDAN","104","PEUGEOT","029","205 XL","1","Privado","Física","BANFIELD","BUENOS AIRES","No identificado","1982","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-06-04","1993-11-26",1055,"LUJAN Nº 1","Buenos Aires","Nacional","1993","","BERLINA 4 PTAS","37","RENAULT","62","RENAULT 21 TXE","1","Privado","Física","LUJAN","BUENOS AIRES","No identificado","1979","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-06-13","2001-07-25",1059,"MAR DEL PLATA Nº 02","Buenos Aires","Nacional","2001","","FURGON 3550","29","MERCEDES BENZ","AC","SPRINTER 312D/F3550","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Femenino","1979","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-06-08","1971-04-16",1076,"PUNTA ALTA N° 1","Buenos Aires","Nacional","1971","","AUTOMOVIL","","TORINO","","TS","1","Privado","Física","PUNTA ALTA","BUENOS AIRES","Femenino","1983","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-06-04","1998-10-08",1113,"SAN VICENTE","Buenos Aires","Nacional","1998","","S.WAGON","08","CHEVROLET","65","CORSA WAGON GL 1.7 DIESEL","1","Privado","Física","SAN VICENTE","BUENOS AIRES","Masculino","1972","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-06-26","1999-09-30",1121,"MAR DEL PLATA Nº 03","Buenos Aires","Nacional","1999","","BERLINA 5 PTAS","37","RENAULT","DW","CLIO RN 5P DIE PACK AA DA","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1975","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-06-19","2000-10-24",1146,"MERLO Nº 2","Buenos Aires","Nacional","2000","","FURGON PLC","07","CITROEN","08","BER FU PLC","1","Privado","Física","PONTEVEDRA.MERLO","BUENOS AIRES","No identificado","1931","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-06-18","2011-03-14",1163,"MAR DEL PLATA Nº 05","Buenos Aires","Nacional","2011","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1961","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-06-01","2010-07-22",1183,"OLIVOS Nº 06","Buenos Aires","Nacional","2010","","FURGON 800","34","PEUGEOT","KE","PARTNER CONFORT 1.4","1","Privado","Jurídica","MUNRO","BUENOS AIRES","No aplica","2003","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-06-28","1998-07-01",1186,"MORENO Nº 2","Buenos Aires","Nacional","1998","","PICK-UP D.A.","37","RENAULT","BG","TRAFIC RODEO S/CAJA C/DA.","1","Privado","Física","PASO DEL REY - PARTIDO: MORENO","BUENOS AIRES","Masculino","1989","Argentina",100,"06","ARG"
