"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-12-09","2012-02-22",2042,"CAPITAL FEDERAL Nº 042","Ciudad Autónoma de Bs.As.","Nacional","2012","","MICROOMNIBUS","79","AGRALE","01","MT 15.0 LE","2","Público","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1993","No aplica",100,"02",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-12-07","2007-09-12",1200,"SAN MARTIN Nº 6","Buenos Aires","Nacional","2007","","FOURGON COURT TYPE 6","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Jurídica","VILLA BALLESTER","BUENOS AIRES","No aplica","2010","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-12-13","1994-03-01",1201,"MAR DEL PLATA Nº 08","Buenos Aires","Importado","1994","","SEDAN","","LADA","","LAIKA 21053","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1944","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2021-12-07","2005-09-12",1147,"LOMAS DE ZAMORA Nº 3","Buenos Aires","Nacional","2005","","FURG/VIDRIADO/ASIENTOS","34","PEUGEOT","DM","PARTNER FURGON 1.4 N PRESENCE","1","Privado","Física","BANFIELD","BUENOS AIRES","Masculino","1988","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2021-12-21","2007-06-15",1254,"CHIVILCOY Nº 2","Buenos Aires","Importado","2007","","PICK UP  CABINA DOBL","024","CHEVROLET","824","S10 2.8TDI DLX 4X4 ELECTRONIC CD","1","Privado","Física","CHIVILCOY","BUENOS AIRES","Masculino","1992","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-12-06","1969-02-24",1145,"QUILMES Nº 4","Buenos Aires","Nacional","1968","","CAMION","15","DODGE","21","DP-600 175","1","Privado","Física","S.F.SOLANO","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-12-21","1984-08-27",4068,"COSQUIN Nº 2","Córdoba","Nacional","1984","","RURAL FAMILIAR","17","FIAT","39","SE 1.5 F","1","Privado","Física","TANTI","CORDOBA","Masculino","2002","ARGENTINA",100,"14","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-12-10","1999-05-28",1208,"MERCEDES Nº 2","Buenos Aires","Nacional","1999","","BERLINA 3 PTAS","37","RENAULT.","DV","CLIO RN 3P DIE PACK AA DA","1","Privado","Física","MERCEDES","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2021-12-16","2000-06-07",1212,"BAHIA BLANCA Nº 5","Buenos Aires","Nacional","2000","","FURGON 4P","34","PEUGEOT","BB","PARTNER 800K","1","Privado","Física","BAHÍA BLANCA","BUENOS AIRES","Masculino","1984","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-12-03","1997-08-07",1302,"NECOCHEA Nº 3","Buenos Aires","Nacional","1997","","BERLINA 3PTAS AA","37","RENAULT","CB","CLIO RL 3 PTAS. A.A.","1","Privado","Física","NECOCHEA","BUENOS AIRES","Masculino","1959","ARGENTINA",100,"06","ARG"
