"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-11-08","1997-09-23",1005,"AVELLANEDA Nº 2","Buenos Aires","Nacional","1997","","BERLINA 5 PUERTAS","37","RENAULT","AH","19 RN INYECCION BIC.","1","Privado","Física","SARANDI","BUENOS AIRES","No identificado","1989","Argentina",50,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-11-12","1994-11-30",1042,"JUNIN Nº 1","Buenos Aires","Importado","1994","","SEDAN","","PEUGEOT","","BERLINA 405 SRI","1","Privado","Física","JUNIN","BUENOS AIRES","No identificado","1954","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-11-21","1999-09-13",1056,"MAGDALENA","Buenos Aires","Nacional","1999","","VIDRIADO C/ASIENTOS","53","VOLKSWAGEN","02","CADDY 1.9 SD  99A","1","Privado","Física","VERÓNICA","BUENOS AIRES","Masculino","1980","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-11-09","1972-12-29",1059,"MAR DEL PLATA Nº 02","Buenos Aires","Nacional","1966","","SIN ESPECIFICACION","17","FIAT","08","1500 C","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1965","Argentina",50,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-11-30","1997-10-09",1103,"ZARATE Nº 1","Buenos Aires","Nacional","1997","","BERLINA 4 PUERTAS","37","RENAULT","CK","MEGANE RT TRIC 2.0","1","Privado","Física","ZARATE","BUENOS AIRES","No identificado","1975","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-11-08","1987-01-21",1113,"SAN VICENTE","Buenos Aires","Nacional","1987","","BERLINA 5 PUERTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","GUERNICA","BUENOS AIRES","Masculino","1963","Paraguay",100,"06","PRY"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-11-08","2006-09-29",1125,"RANCHOS","Buenos Aires","Nacional","2006","","FURGON VIDRIADO C/AS","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Física","RANCHOS","BUENOS AIRES","Femenino","1979","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-11-01","2000-08-04",1130,"GENERAL RODRIGUEZ Nº 1","Buenos Aires","Nacional","2000","","SEMIRR C REFRIGERADA","61","INDOL","09","YAPPP","1","Privado","Jurídica","GRAL.RODRIGUEZ","BUENOS AIRES","No aplica","1976","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-11-05","1971-04-15",1147,"LOMAS DE ZAMORA Nº 3","Buenos Aires","Nacional","1971","","AUTOMOVIL","15","FIAT","23","1500 C FAMILIAR","1","Privado","Física","VILLA ALBERTINA","BUENOS AIRES","Femenino","1985","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-11-23","1969-05-20",1150,"AVELLANEDA Nº 3","Buenos Aires","Importado","1968","","TRANSPORTE DE CARGA","","CHEVROLET","","CD62003","1","Privado","Jurídica","AVELLANEDA","BUENOS AIRES","No aplica","1961","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-11-23","1978-07-03",1150,"AVELLANEDA Nº 3","Buenos Aires","Importado","","","chas c/ cab caja vol","","CHEVROLET","","CHEVROLET 714","1","Privado","Jurídica","AVELLANEDA","BUENOS AIRES","No aplica","1961","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-11-09","1971-05-11",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","","","TRANSP DE CARGA","","RASTROJERO DIESEL","","1960","1","Privado","Física","VIRREY DEL PINO*LA MATANZA","BUENOS AIRES","No identificado","1984","No identificado",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-11-12","1992-08-04",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","1992","","BERLINA 5 PTAS","37","RENAULT","20","11 TS","1","Privado","Física","LA TABLADA","BUENOS AIRES","Masculino","1968","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-11-08","1993-03-11",1159,"TRES ARROYOS Nº 2","Buenos Aires","Protocolo 21","1993","","SEDAN","999","FIAT","999","DUNA SL 1.6","1","Privado","Física","TRES ARROYOS","BUENOS AIRES","Masculino","1984","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-11-29","2000-12-12",1164,"MAR DEL PLATA Nº 06","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","79","CORSA WIND 1.6 MPFI 5P./2000","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","No identificado","1976","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-11-06","1987-07-17",1169,"OLIVOS Nº 05","Buenos Aires","Nacional","1987","","BERLINA 5 PTAS.","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","FLORIDA","BUENOS AIRES","Masculino","1990","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-11-07","2007-05-07",1171,"ESCOBAR Nº 1","Buenos Aires","Nacional","2007","","MICROOMNIBUS","29","MERCEDES BENZ","CD","BMO 390 VERSION 1315L/52 CA 2007","2","Público","Jurídica","B. DE ESCOBAR","BUENOS AIRES","No aplica","1965","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-11-15","1995-03-31",1171,"ESCOBAR Nº 1","Buenos Aires","Nacional","1995","","MICROOMNIBUS","29","MERCEDES BENZ","49","BMO390 VERSION 1320","2","Público","Jurídica","ESCOBAR","BUENOS AIRES","No aplica","1965","No aplica",100,"06",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-11-12","2004-06-25",1179,"SAN MARTIN Nº 5","Buenos Aires","Protocolo 21","2004","","TRANSPORTE ESCOLAR","044","FIAT","135","DUCATO CARGO 2.8 IDTD","1","Privado","Física","SAN MARTIN","BUENOS AIRES","Masculino","1973","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-11-29","2009-05-19",1188,"LA PLATA Nº 07","Buenos Aires","Importado","2009","","FURGON VIDR C/ASIENT","136","VOLKSWAGEN","134","TRANSPORTER 1.9 TDI","1","Privado","Física","LA PLATA","BUENOS AIRES","Masculino","1941","Argentina",100,"06","ARG"
