"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-01","1993-04-06",2053,"CAPITAL FEDERAL Nº 053","Ciudad Autónoma de Bs.As.","Nacional","1993","","FURGON LARGO","37","RENAULT","86","RENAULT TRAFIC","0","Oficial","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1969","No aplica",100,"02",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2021-10-06","2008-12-02",1266,"MALVINAS ARGENTINAS Nº 3","Buenos Aires","Nacional","2008","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","GRAND BOURG","BUENOS AIRES","Femenino","1989","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/EXPORT. DEFINITIVA","2021-10-20","1974-10-11",1241,"MAR DEL PLATA Nº 10","Buenos Aires","Importado","1957","","COUPE","092","MERCEDES BENZ","","57","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1938","ARGENTINA",50,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-07","1981-03-12",1194,"AVELLANEDA Nº 5","Buenos Aires","Nacional","1981","","TRACTOR DE CARRETERA","19","FORD","15","F-7000","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-05","2012-09-21",1045,"LA PLATA Nº 03","Buenos Aires","Nacional","2012","","FURGON","34","PEUGEOT","LJ","PARTNER CONFORT HDI 1.6","1","Privado","Física","LA PLATA","BUENOS AIRES","Masculino","1977","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-12","2009-01-05",2040,"CAPITAL FEDERAL Nº 040","Ciudad Autónoma de Bs.As.","Protocolo 21","2009","","OMNIBUS","080","AGRALE","160","MT 12.0 LE","2","Público","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1958","No aplica",100,"02",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-06","1994-01-07",1312,"BAHIA BLANCA Nº 7","Buenos Aires","Importado","1994","","SEDAN","044","FIAT","725","UNO 1.4","1","Privado","Física","BAHIA BLANCA","BUENOS AIRES","Masculino","1972","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-13","1992-08-03",1315,"OLAVARRIA Nº 3","Buenos Aires","Nacional","1992","","RURAL 4 PTAS","37","RENAULT","74","18 TS BREAK","1","Privado","Física","OLAVARRIA","BUENOS AIRES","No identificado","1956","No identificado",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-04","1993-10-13",4071,"VILLA CARLOS PAZ Nº 2","Córdoba","Nacional","1993","","BERLINA 5 PTAS.","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","V.CARLOS PAZ -PUNILLA","CORDOBA","No identificado","1958","No identificado",100,"14",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2021-10-01","2008-04-09",1176,"SAN ISIDRO Nº 05","Buenos Aires","Nacional","2008","","RURAL 5 PUERTAS","53","VOLKSWAGEN","LS","SURAN SDI 80B","1","Privado","Física","BOULOGNE","BUENOS AIRES","No identificado","1973","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-01","2011-03-30",2040,"CAPITAL FEDERAL Nº 040","Ciudad Autónoma de Bs.As.","Protocolo 21","2011","","OMNIBUS","080","AGRALE","160","MT 12.0 LE","2","Público","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1954","No aplica",100,"02",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-21","1985-01-04",1205,"SAN FERNANDO Nº 3","Buenos Aires","Nacional","1985","","SIN ESPECIFICACION","37","RENAULT","24","FUEGO GTX","1","Privado","Física","VICTORIA","BUENOS AIRES","No identificado","1948","No identificado",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-13","1988-12-15",4034,"VILLA DE MARIA","Córdoba","Nacional","1988","","BERLINA 5 PUERTAS","37","RENAULT","42","RENAULT 11 GTL","1","Privado","Física","VILLA CANDELARIA","CORDOBA","Masculino","1983","ARGENTINA",100,"14","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-19","1987-03-02",1018,"CARMEN DE PATAGONES","Buenos Aires","Nacional","1987","","BERLINA 5 PTAS.","37","RENAULT","20","11 TS","1","Privado","Física","CARMEN DE PATAGONES","BUENOS AIRES","Femenino","1980","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-19","2012-02-09",2045,"CAPITAL FEDERAL Nº 045","Ciudad Autónoma de Bs.As.","Nacional","2012","","SEM 2 EJES","FM","FXV","04","BATA 305 B","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","2004","No aplica",100,"02",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-20","1992-10-16",1016,"CARLOS CASARES","Buenos Aires","Importado","1992","","AUTOMOVIL","","FIAT","","UNO 1.6R","1","Privado","Física","CARLOS CASARES","BUENOS AIRES","No identificado","1986","No identificado",50,"06",""
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2021-10-26","2005-10-27",2087,"CAPITAL FEDERAL Nº 087","Ciudad Autónoma de Bs.As.","Nacional","2005","","FURGON CON ASIENTOS","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","2003","No aplica",100,"02",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-26","2005-03-22",1203,"MALVINAS ARGENTINAS Nº 1 (EX. SAN MIGUEL NRO. 4)","Buenos Aires","Nacional","2005","","FURGON 600","34","PEUGEOT","DP","PARTNER FURGON 1.4 N CONFORT","1","Privado","Física","ING.ADOLFO SOURDEAUX-M.ARGENTINAS","BUENOS AIRES","Femenino","1971","ARGENTINA",50,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-28","1976-06-10",1091,"MONTE","Buenos Aires","Nacional","1976","","MEHARI","07","CITROEN","07","AMI 8","1","Privado","Física","SAN MIGUEL DEL MONTE","BUENOS AIRES","No identificado","1962","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-27","1994-03-21",1315,"OLAVARRIA Nº 3","Buenos Aires","Importado","1994","","SEDAN","999","PEUGEOT","999","405 GLD","1","Privado","Física","OLAVARRIA","BUENOS AIRES","Masculino","1965","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-20","2007-08-24",3008,"CATAMARCA Nº 4","Catamarca","Protocolo 21","2007","","MICROOMNIBUS","092","MERCEDES BENZ","168","OF-1418","1","Privado","Física","EL PORTEZUELO","CATAMARCA","Masculino","1969","ARGENTINA",100,"10","ARG"
"AUTOMOTOR - BAJA P/EXPORT. DEFINITIVA","2021-10-20","1975-03-25",1025,"CHASCOMUS","Buenos Aires","Nacional","1975","","CARROZA FUNEBRE","08","CHEVROLET","26","CHEVY MALIBU","1","Privado","Física","CHASCOMUS","BUENOS AIRES","Femenino","1994","ARGENTINA",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2021-10-07","1977-04-07",1114,"CAÑUELAS","Buenos Aires","Nacional","1977","","COUPE 2 PTAS","41","TORINO","04","TORINO TSX","1","Privado","Física","C.AUTONOMA DE BS.AS","BUENOS AIRES","Masculino","1965","ARGENTINA",100,"06","ARG"
