"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-02-09","2001-03-07",1023,"CORONEL VIDAL","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","57","CORSA 4 PUERTAS WIND 1.6 MPFI","1","Privado","Física","CORONEL VIDAL","BUENOS AIRES","Femenino","1945","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-02-22","2007-05-09",1033,"GENERAL BELGRANO","Buenos Aires","Nacional","2007","","MICROOMNIBUS","29","MERCEDES BENZ","CD","BMO 390 VERSION 1315L/52 CA","1","Privado","Física","GENERAL BELGRANO","BUENOS AIRES","Masculino","1974","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-02-08","2009-01-19",1059,"MAR DEL PLATA Nº 02","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","EP","PARTNER FURGON D PLC     PRESENCE","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Femenino","1975","China",100,"06","CHN"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-02-05","1977-03-03",1054,"LOS TOLDOS","Buenos Aires","Nacional","1976","","COUPE 2 PUERTAS","41","RENAULT","04","TORINO TSX/ 1976","1","Privado","Física","LOS TOLDOS PDO GRAL VIAMONTE","BUENOS AIRES","No identificado","1957","No identificado",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-02-01","2010-06-07",1070,"PEHUAJO","Buenos Aires","Nacional","2010","","RURAL 5 PTAS","53","VOLKSWAGEN","MA","SURAN SDI 90A","1","Privado","Física","PEHUAJO","BUENOS AIRES","No identificado","1982","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-02-26","2006-02-10",1099,"TRES ARROYOS Nº 1","Buenos Aires","Nacional","2006","","FOURGON COURT TYPE 6","07","CITROEN","19","BERLINGO FURGON 1.9D PACK","1","Privado","Física","TRES ARROYOS","BUENOS AIRES","Masculino","1975","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-02-23","2008-06-09",1139,"SAN ISIDRO Nº 03","Buenos Aires","Nacional","2008","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","MARTINEZ","BUENOS AIRES","Masculino","1960","Argentina",50,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-02-07","1993-04-06",1151,"AVELLANEDA Nº 4","Buenos Aires","Nacional","1992","","COUPE 2 PUERTAS","37","RENAULT","52","RENAULT FUEGO MAX","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Masculino","1974","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-02-09","1980-09-05",1151,"AVELLANEDA Nº 4","Buenos Aires","Importado","1957","","JEEP","","IKA","","1957","1","Privado","Física","AVELLANEDA","BUENOS AIRES","No identificado","1959","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-02-22","2000-10-20",1197,"SAN ISIDRO Nº 06","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","63","CORSA 4 PTAS. GLS 1.7 D","1","Privado","Física","BOULOGNE","BUENOS AIRES","Masculino","1938","Argentina",50,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-02-27","1973-07-23",1247,"GENERAL RODRIGUEZ Nº 2","Buenos Aires","Importado","1973","","SIN ESPECIFICACION","","SINFMAR","","1973","1","Privado","Jurídica","GRAL RODRIGUEZ-BS.AS.","BUENOS AIRES","No aplica","1979","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-02-08","1988-05-05",1265,"PILAR Nº 3","Buenos Aires","Nacional","1988","","BERLINA 5 PTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","DEL VISO","BUENOS AIRES","Femenino","1988","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-02-09","1993-02-01",1282,"LOMAS DE ZAMORA Nº 9","Buenos Aires","Nacional","1993","","BREAK 4 PTAS","37","RENAULT","83","RENAULT 18 TX BREAK","1","Privado","Física","TEMPERLEY","BUENOS AIRES","Femenino","1975","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-02-05","2006-05-31",1286,"LA PLATA Nº 15","Buenos Aires","Nacional","2006","","FURGON 600","34","PEUGEOT","DP","PARTNER FURGON 1.4 N CONFORT","1","Privado","Física","CITY BELL","BUENOS AIRES","Masculino","1991","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-02-21","2000-07-13",1291,"CAMPANA Nº 3","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 DOOR WIND 1.6 MPFI","1","Privado","Física","CAMPANA","BUENOS AIRES","Masculino","1987","Argentina",100,"06","ARG"
